イベントID	step	区分	イベント名	強度_0to1	対象	主な影響方向	発生源	関連国	日本社会状態	若者への入力文
OE008	8	組織判断	企業・組織の採用育成判断	0.44	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: SNS83.0で内定者離脱リスク臨界。厳選維持しながらキャリア可視化・心理フォロー施策を強化する / さくら在宅ケア株式会社: SNS不安で介護離れが加速し新卒はほぼ機能せず。復職者・資格者への口コミ採用に一本化 / 東京湾岸工科専門学校: SNS不安83超による志願者萎縮が続くため、内定実績を具体的数値で可視化し推薦接続を継続強化する	未来通信システム株式会社: SNS不安83.0とAI雇用不安の共鳴で入社前から希望経路が見えにくくなる / さくら在宅ケア株式会社: AI雇用不安と介護職イメージ低下が重なり新規参入がさらに減少する / 東京湾岸工科専門学校: SNS不安増幅で職業選択への自己効力感が低下し、大手・公務員志向の保守的進路集中が強まる 現役側には 未来通信システム株式会社: 逃避行動増加で中堅層の転職検討が加速し、AI転換圧力との板挟みが深刻化する / さくら在宅ケア株式会社: 在職中堅職員に不安が蓄積し表面化しにくい静かな離職リスクが高まる / 東京湾岸工科専門学校: 教職員の心理的消耗が蓄積し、進路相談担当を中心に離職・燃え尽きリスクが高まる
WE019	8	世界イベント	AI雇用不安増幅の悪化	0.43	全体	希望経路↓ 自己効力感↓	雇用不確実性	ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ8: SNS不安増幅が83.0。高リスク国: ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は27.2。	AIと景気の不確実性により、努力が報われる経路が見えにくくなる。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
WE020	8	世界イベント	地政学SNS不安拡散の悪化	0.71	全体	不安↑ 怒り↑ 逃避行動↑	SNS不安増幅	ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ8: SNS不安増幅が83.0。高リスク国: ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は27.2。	危機情報がSNSで増幅し、不安と怒りが日常会話に入り込む。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB008	9	社会反応	生活防衛シフト	0.35	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	生活防衛23.6、情報過敏18.7、撤退16.2	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE009	9	組織判断	企業・組織の採用育成判断	0.47	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	東北ライフライン保守株式会社: 「地域防災の守り手」訴求を継続強化。SNS不安下で安定・使命感訴求をより具体的事例で補強する。 / さくら在宅ケア株式会社: AI雇用不安でケア職のAI耐性を訴求するが、賃金格差で採用転換効果は限定的 / 未来通信システム株式会社: SNS85.9で離脱臨界継続。厳選維持しキャリア可視化・心理フォロー・内定者コミュニティ強化で定着を図る	東北ライフライン保守株式会社: AI不安増幅下で安定・使命感のある地域インフラ職への一部選好増があるが、応募数の低迷は続く見通し。 / さくら在宅ケア株式会社: AI耐性職としての認知が微増するが低賃金不安で入職障壁は依然として高い / 未来通信システム株式会社: SNS85.9下で努力が報われない感覚が拡大。入社後早期離職と精神的消耗のリスクが高まる 現役側には 東北ライフライン保守株式会社: エネルギー価格上昇と財政圧力で現場コスト意識が高まり、AI補助ツールへの受容が緩やかに進む可能性がある。 / さくら在宅ケア株式会社: AI不安を抱えた中高年の介護転職模索が増えるが低賃金で実行移行は限定的 / 未来通信システム株式会社: 再学習要求は継続も希望経路が見えにくく転換意欲低下と離職加速の二重圧力が働く
WE021	9	世界イベント	AI雇用不安増幅の悪化	0.55	全体	希望経路↓ 自己効力感↓	雇用不確実性	ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ9: SNS不安増幅が85.9。高リスク国: ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は25.6。	AIと景気の不確実性により、努力が報われる経路が見えにくくなる。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB009	10	社会反応	生活防衛シフト	0.32	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	情報過敏32.4、生活防衛21.6、撤退19.3	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB010	10	社会反応	情報過敏の拡大	0.38	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	情報過敏32.4、生活防衛21.6、撤退19.3	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
OE010	10	組織判断	企業・組織の採用育成判断	0.49	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	さくら在宅ケア株式会社: SNSで「ロボに置き換えられない人間ケア」を訴求するが賃金格差が可視化され採用効果は限定的 / 未来通信システム株式会社: SNS86.7で離脱不安増大。厳選維持しつつ安定キャリア実績の発信強化と内定者不安モニタリングを継続 / 北関東精密加工株式会社: SNS不安86.7でさらに地方離れ加速。奨学金給付付き高専・工業高校連携継続し実習受入枠を2校増設、採用パイプライン強化。	さくら在宅ケア株式会社: SNSでケア職賃金格差が拡散し若年層の就職回避が加速。資格者でも応募抑制が進む / 未来通信システム株式会社: SNS86.7で離脱連鎖が加速。残留者の孤立感と将来不安が臨界域に近づく / 北関東精密加工株式会社: ロボ導入が「仕事を奪う」SNS不安と「仕事が楽になる」現場実感に分断し、採用競争力が研修成果次第で大きく分岐する。 現役側には さくら在宅ケア株式会社: 現役職員のSNS発信が採用難を悪化させる悪循環リスク。心理的疲弊が離職連鎖を誘発 / 未来通信システム株式会社: 現役IT職は転換要求増大と雇用不確実の二重圧力で疲弊感が蓄積する / 北関東精密加工株式会社: 搬送ロボ試験運用で熟練工のスキル再定義が求められ、一部に配置転換不安が生じる。ロボ担当者への役割転換を誘導する。
FB011	11	社会反応	生活防衛シフト	0.26	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	情報過敏34.9、撤退18.9、生活防衛18.5	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB012	11	社会反応	情報過敏の拡大	0.43	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	情報過敏34.9、撤退18.9、生活防衛18.5	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
OE011	11	組織判断	企業・組織の採用育成判断	0.47	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	東京湾岸工科専門学校: SNS不安78.7に微減。OB/OG内定データに医療・福祉・物流進路を追加し多様な安心経路を可視化する / 未来通信システム株式会社: SNS78.7微減で内定離脱リスクは継続。厳選維持しつつ国産AI専門の中途枠を拡大し安定キャリア実績発信を強化 / 北関東精密加工株式会社: ロボ運用チーム発足を採用PRに転換し、工業高校連携で技術系若手パイプラインを維持する。	東京湾岸工科専門学校: 不安微減でやや回復傾向も労働不確実72.1で進路不安継続。ピア学習が孤立感を緩和する可能性あり / 未来通信システム株式会社: AI選別圧力は継続するが成功体験の可視化でAI共存への自己効力感が徐々に回復し始める / 北関東精密加工株式会社: ロボ担当キャリアがSNS不安に対する具体的な就職先イメージとして機能し始める。 現役側には 東京湾岸工科専門学校: 教員バーンアウトリスク高止まり。AI事務支援で負荷軽減できれば離職抑止に繋がる可能性あり / 未来通信システム株式会社: 転換ロードマップ具体化で再学習の方向性が見え始める一方、地政学不安が業務安定性への不安を複合させる / 北関東精密加工株式会社: ロボ運用チーム発足で現場中堅に教える役割が生まれ、技術伝承の動機が部分的に復活する。
FB013	12	社会反応	情報過敏の拡大	0.46	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	情報過敏36.8、撤退21.9、生活防衛12.7	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
