イベントID	step	区分	イベント名	強度_0to1	対象	主な影響方向	発生源	関連国	日本社会状態	若者への入力文
WE008	3	世界イベント	エネルギー価格ショック	0.20	全体	生活コスト↑ 子ども意向↓	エネルギー価格圧力	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが72.1。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は43.5。	エネルギー圧力が高く、家計と移動・電気代への不安が増える。
WE009	3	世界イベント	半導体・計算資源制約の悪化	0.24	全体	学習機会格差↑ 雇用不安↑	計算資源制約	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが72.1。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は43.5。	計算資源と半導体制約により、AI利用格差と進路不安が広がる。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
WE010	3	世界イベント	供給網不安拡大の悪化	0.36	全体	物価不安↑ 雇用安定↓	供給網不安	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが72.1。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は43.5。	供給網の不安定化により、物価と企業採用への不安が残る。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
WE011	3	世界イベント	地政学SNS不安拡散の悪化	0.25	全体	不安↑ 怒り↑ 逃避行動↑	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが72.1。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は43.5。	危機情報がSNSで増幅し、不安と怒りが日常会話に入り込む。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB002	4	社会反応	生活防衛シフト	0.66	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	公平感欠損63.3、政策疲労60.8、生活防衛40.5	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE004	4	組織判断	企業・組織の採用育成判断	0.40	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒は厳選維持、中途は安保・調達・省エネ即戦力を厚く / 首都圏業務支援株式会社: 新卒は最小維持、危機対応と監査の中途を重点 / 北関東精密加工株式会社: 新卒は必要数確保、保全・生産技術の中途を厚めに	未来通信システム株式会社: 選別不安は増えるが、安保/省エネ技能の成長機会は増 / 首都圏業務支援株式会社: 新卒枠は狭く不安増、危機対応スキルには機会 / 北関東精密加工株式会社: 地元志向は強まるが不安増、技能＋AIの早期習得が鍵 現役側には 未来通信システム株式会社: 再配置と学び直し圧が増大、稟議・現場摩擦で疲弊も / 首都圏業務支援株式会社: 監査・危機対応へ再配置圧力、外注縮小で負荷増 / 北関東精密加工株式会社: 保全・段取り職の重要性上昇、再配置と再訓練負担が増す
WE012	4	世界イベント	間接衝突拡大	0.72	全体	地政学リスク↑ SNS不安↑	国家LLMリスク段階	北朝鮮	ステップ4: 地政学リスクが75.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は40.4。	北朝鮮の間接衝突化により、SNS上の不安と将来予見性の低下が強まる。
WE013	4	世界イベント	エネルギー価格ショックの悪化	0.37	全体	生活コスト↑ 子ども意向↓	エネルギー価格圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ4: 地政学リスクが75.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は40.4。	エネルギー圧力が高く、家計と移動・電気代への不安が増える。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB003	5	社会反応	生活防衛シフト	0.46	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	公平感欠損67.0、政策疲労66.1、生活防衛29.8	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB004	5	社会反応	情報過敏の拡大	0.28	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	公平感欠損67.0、政策疲労66.1、生活防衛29.8	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
OE005	5	組織判断	企業・組織の採用育成判断	0.41	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒は厳選維持、中途は安保・省エネ・調達で増員 / 北関東精密加工株式会社: 新卒は必要数維持、SC/保全/生技の中途を厚めに / 首都圏業務支援株式会社: 新卒は最小維持、危機運用・監査の中途を増やす	未来通信システム株式会社: 計算資源格差で学習機会が偏り、選別不安が増す / 北関東精密加工株式会社: 採用は維持だが即戦力期待増、学習機会格差の不安が残る / 首都圏業務支援株式会社: 新卒枠は細り、AI運用・監査寄りの配属が増える 現役側には 未来通信システム株式会社: 再学習と配置転換圧力が上がり、運用負荷も増える / 北関東精密加工株式会社: 技能の標準化圧力と多能工化が進み、移行負担が増える / 首都圏業務支援株式会社: 標準化で再配置が進み、外注・契約側の不安が増す
WE014	5	世界イベント	半導体・計算資源制約の悪化	0.43	全体	学習機会格差↑ 雇用不安↑	計算資源制約	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ5: 地政学リスクが77.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は37.9。	計算資源と半導体制約により、AI利用格差と進路不安が広がる。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
WE015	5	世界イベント	供給網不安拡大の悪化	0.57	全体	物価不安↑ 雇用安定↓	供給網不安	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ5: 地政学リスクが77.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は37.9。	供給網の不安定化により、物価と企業採用への不安が残る。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB005	6	社会反応	生活防衛シフト	0.38	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労71.4、公平感欠損70.3、情報過敏30.4	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB006	6	社会反応	情報過敏の拡大	0.35	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	政策疲労71.4、公平感欠損70.3、情報過敏30.4	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
OE006	6	組織判断	企業・組織の採用育成判断	0.40	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒は厳選継続、中途は安保・省エネ・調達で増員 / 首都圏業務支援株式会社: 新卒は最小維持、供給網/BCP運用の中途を増やす / 北関東精密加工株式会社: 新卒は必要数維持、保全/生技/調達の中途を強化	未来通信システム株式会社: 採用厳選が続き不安増、AI前提の育成機会は拡大 / 首都圏業務支援株式会社: 新卒枠は狭いがAI監査系の成長路線は残る / 北関東精密加工株式会社: 採用は絞るが技能の見える化で成長路線は明確化 現役側には 未来通信システム株式会社: 再配置と再学習が常態化、雇用は守るが負荷上昇 / 首都圏業務支援株式会社: 不安対応・監査負荷増、再学習と配置転換が進む / 北関東精密加工株式会社: 保全・改善・AI運用の兼務増、再訓練と負荷管理が焦点
WE016	6	世界イベント	供給網不安拡大の高止まり	0.57	全体	物価不安↑ 雇用安定↓ 慢性負荷↑	供給網不安	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ6: 地政学リスクが76.8。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は33.5。	供給網の不安定化により、物価と企業採用への不安が残る。 新しい事件というより、高い不安が続いて疲労感を生む。
WE017	6	制度制約	財政制約による支援遅れの悪化	0.70	全体	制度信頼↓ 裏切られ感↑	日本社会状態	日本	ステップ6: 地政学リスクが76.8。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は33.5。	財政圧力により若者支援や生活支援が遅れ、制度への失望が出やすい。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB007	7	社会反応	生活防衛シフト	0.85	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労77.1、公平感欠損74.3、生活防衛51.0	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE007	7	組織判断	企業・組織の採用育成判断	0.44	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒枠は維持し厳選、計算資源運用・安保中途を増員 / 首都圏業務支援株式会社: 新卒枠は小さく維持、中途はBCP運用とAI監査を増員 / 北関東精密加工株式会社: 新卒は必要数維持、保全/生技の中途を厳選強化	未来通信システム株式会社: 学習機会格差で応募不安増、社内研修の価値が上がる / 首都圏業務支援株式会社: 新卒は少数精鋭化、AI監査/OJT短期化で成長は速いが競争増 / 北関東精密加工株式会社: 技能＋AI補助の早期戦力化が進む一方、選抜感が増す 現役側には 未来通信システム株式会社: 再学習と業務再設計が必須化、配置転換の摩擦が増える / 首都圏業務支援株式会社: 問い合わせ・事務は再配置圧、AI監査と危機対応へ再技能化が進む / 北関東精密加工株式会社: 保全/段取り需要が増え、再訓練負担と現場抵抗が併存
WE018	7	世界イベント	半導体・計算資源制約の悪化	0.57	全体	学習機会格差↑ 雇用不安↑	計算資源制約	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ7: SNS不安増幅が77.8。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は31.2。	計算資源と半導体制約により、AI利用格差と進路不安が広がる。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB008	8	社会反応	生活防衛シフト	0.67	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労81.9、公平感欠損78.4、生活防衛41.1	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE008	8	組織判断	企業・組織の採用育成判断	0.49	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	未来通信システム株式会社: 新卒は維持し厳選、安保・運用中途を厚めに採る / 首都圏業務支援株式会社: 新卒は少数維持、中途はAI監査/危機窓口を優先 / 北関東精密加工株式会社: 新卒は必要数維持、保全/生技の中途を優先し内製化	未来通信システム株式会社: 努力経路の不透明感が増し、選別不安と回避行動が広がる / 首都圏業務支援株式会社: 不安対応スキルが評価される一方、選別不安も増える / 北関東精密加工株式会社: 不安が強く定着不安↑、技能可視化で自己効力感は下支え 現役側には 未来通信システム株式会社: 再学習圧が上昇、運用・安保・説明責任側へ職務移動 / 首都圏業務支援株式会社: AI監査/危機対応へ再訓練圧力、心理負荷が上がる / 北関東精密加工株式会社: 配置転換と多能工負担↑、保全/省エネで仕事の手触りは残る
WE019	8	世界イベント	AI雇用不安増幅の悪化	0.59	全体	希望経路↓ 自己効力感↓	雇用不確実性	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ8: SNS不安増幅が81.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は29.1。	AIと景気の不確実性により、努力が報われる経路が見えにくくなる。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB009	9	社会反応	生活防衛シフト	0.94	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労86.0、公平感欠損81.7、生活防衛56.1	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE009	9	組織判断	企業・組織の採用育成判断	0.50	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	未来通信システム株式会社: 新卒は厳選維持、運用安保と顧客対応の中途を厚く / 首都圏業務支援株式会社: 新卒は最小維持、中途は監査/危機窓口/品質管理を優先 / 関東広域ロジスティクス株式会社: 新卒は統制・保全/ロボ運用に絞り継続、中途は地方・夜間の即戦力増	未来通信システム株式会社: 努力経路が見えにくく不安増、可視化施策で自己効力感を補助 / 首都圏業務支援株式会社: 応募は不安増、危機対応スキル志向が強まり選別感も増す / 関東広域ロジスティクス株式会社: 選別強化で不安は増すが、運用・説明スキルの習得機会は増える 現役側には 未来通信システム株式会社: 職務再編と再学習圧力増、配置転換で不満も増えやすい / 首都圏業務支援株式会社: 監査/説明責任の負荷増、再学習と心理負担が上がる / 関東広域ロジスティクス株式会社: 再配置と再学習圧が増え摩擦も出るが、安全・運用職は需要が残る
WE020	9	世界イベント	AI雇用不安増幅の悪化	0.71	全体	希望経路↓ 自己効力感↓	雇用不確実性	ウクライナ(限定戦争)、北朝鮮(間接衝突)、イスラエル(間接衝突)、ロシア(間接衝突)	ステップ9: SNS不安増幅が84.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、イスラエル(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は27.3。	AIと景気の不確実性により、努力が報われる経路が見えにくくなる。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB010	10	社会反応	生活防衛シフト	0.88	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労89.3、公平感欠損85.1、生活防衛52.6	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE010	10	組織判断	企業・組織の採用育成判断	0.51	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	未来通信システム株式会社: 新卒は厳選維持、安保/運用/営業の中途を増強 / 北関東精密加工株式会社: 新卒は必要数維持、保全/生技中途を優先し採用難は協力校で補う / 関東広域ロジスティクス株式会社: 新卒はロボ運用・安全・顧客対応に絞り維持、中途は現場即戦力を増	未来通信システム株式会社: 選別不安が増えるが、基準可視化で納得感は改善 / 北関東精密加工株式会社: SNS不安で入社迷い増。見える育成と相談窓口で定着は改善 / 関東広域ロジスティクス株式会社: 配属の選別感は増えるが、ロボ運用・説明職の入口が明確化 現役側には 未来通信システム株式会社: 再学習圧力が上がり、説明責任/顧客対応の負荷増 / 北関東精密加工株式会社: 現場はAI/ロボで再配置不安。多能工化と説明で摩擦を抑える / 関東広域ロジスティクス株式会社: 現場に監督・説明負荷が増、再配置と再教育で不安が出やすい
FB011	11	社会反応	生活防衛シフト	0.84	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労92.1、公平感欠損87.8、生活防衛50.4	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE011	11	組織判断	企業・組織の採用育成判断	0.52	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	未来通信システム株式会社: 新卒は厳選継続、安保/運用/法人営業の中途を強化 / 北関東精密加工株式会社: 新卒は枠維持、保全/生技中途を優先。SNS不安には職場見学で鎮静 / 関東広域ロジスティクス株式会社: 新卒は対人調整・安全・ロボ運用に絞り維持、中途は拠点運営と保守を増	未来通信システム株式会社: 採用不安を抑える可視化が進む一方、厳選で競争は強まる / 北関東精密加工株式会社: 見学・対話で不安は緩和。AI前提の成長実感は増えるが選抜感も残る / 関東広域ロジスティクス株式会社: 対人・安全・運用型の入口は増、単純作業志望は不安が拡大 現役側には 未来通信システム株式会社: 監査対応と再学習が常態化、配置転換で職務境界が揺れる / 北関東精密加工株式会社: 多能工化とAI/ロボ併用で再学習負荷は上昇。雇用は維持寄りで安心感は残る / 関東広域ロジスティクス株式会社: 現場に説明・クレーム対応負荷増、再配置と運用技能の再学習が常態化
FB012	12	社会反応	生活防衛シフト	0.68	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労93.8、公平感欠損88.9、生活防衛41.7	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE012	12	組織判断	企業・組織の採用育成判断	0.51	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	未来通信システム株式会社: 新卒は絞りつつ継続、安保/運用/省電力領域の中途増 / 北関東精密加工株式会社: 新卒枠は維持しつつ厳選。保全/生技/品質の中途を重点化 / 首都圏業務支援株式会社: 新卒は小枠維持、中途は危機/監査/顧客折衝を厚く	未来通信システム株式会社: 選別感は増すが、評価可視化で努力経路は部分回復 / 北関東精密加工株式会社: SNS不安で応募は慎重化。見学と対話で安心感が増し定着は改善 / 首都圏業務支援株式会社: 採用枠は狭いが、監査・説明責任型の成長路が見える 現役側には 未来通信システム株式会社: 不安増幅下で再学習負荷↑、再配置で雇用は守られやすい / 北関東精密加工株式会社: 現場は変化疲れが増えるが、停止率KPIと小改善で納得感を作る / 首都圏業務支援株式会社: 炎上/危機の負荷増。AI監査技能で役割再定義が進む
WE021	12	世界イベント	間接衝突拡大	0.72	全体	地政学リスク↑ SNS不安↑	国家LLMリスク段階	北朝鮮	ステップ12: SNS不安増幅が80.8。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は27.5。	北朝鮮の間接衝突化により、SNS上の不安と将来予見性の低下が強まる。
WE022	12	世界イベント	AI雇用不安増幅の高止まり	0.64	全体	希望経路↓ 自己効力感↓ 慢性負荷↑	雇用不確実性	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ12: SNS不安増幅が80.8。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は27.5。	AIと景気の不確実性により、努力が報われる経路が見えにくくなる。 新しい事件というより、高い不安が続いて疲労感を生む。
WE023	12	世界イベント	地政学SNS不安拡散の高止まり	0.65	全体	不安↑ 怒り↑ 逃避行動↑ 慢性負荷↑	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ12: SNS不安増幅が80.8。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は27.5。	危機情報がSNSで増幅し、不安と怒りが日常会話に入り込む。 新しい事件というより、高い不安が続いて疲労感を生む。
WE024	12	制度制約	財政制約による支援遅れの高止まり	1.00	全体	制度信頼↓ 裏切られ感↑ 慢性負荷↑	日本社会状態	日本	ステップ12: SNS不安増幅が80.8。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は27.5。	財政圧力により若者支援や生活支援が遅れ、制度への失望が出やすい。 新しい事件というより、高い不安が続いて疲労感を生む。
FB013	13	社会反応	生活防衛シフト	0.85	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労94.6、公平感欠損89.6、生活防衛51.1	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE013	13	組織判断	企業・組織の採用育成判断	0.48	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒は絞って継続、中途は安保/運用/省電力を厚く / 北関東精密加工株式会社: 新卒枠は維持し厳選。保全/生技/品質の中途を増やす / 東北ライフライン保守株式会社: 新卒枠は地域校で維持。中途・紹介と外注を補完	未来通信システム株式会社: 選別不安が強まり、可視化された育成ルートに集中が起きる / 北関東精密加工株式会社: 新卒枠維持で入口は残るが、AI前提の適応圧と不安ケア需要が増える / 東北ライフライン保守株式会社: 安心材料が増え定着は改善。ただし応募総数は伸びにくい 現役側には 未来通信システム株式会社: 配置転換と監査対応が増え、再学習と心理負荷が上がる / 北関東精密加工株式会社: 多能工化とAI/ロボ運用が標準化し再学習必須。繁閑調整で負荷変動 / 東北ライフライン保守株式会社: 再配置と技能再定義が進む。不安期は説明不足が離職要因
FB014	14	社会反応	生活防衛シフト	0.86	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労95.7、公平感欠損90.7、生活防衛51.7	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE014	14	組織判断	企業・組織の採用育成判断	0.47	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒枠は維持しつつ絞り込み、中途は安保/運用/省電力を優先 / 首都圏業務支援株式会社: 新卒小枠維持。中途は危機広報/監査/折衝を厚く / 北関東精密加工株式会社: 新卒枠は厳選維持。品質/保全/生技の中途を継続増	未来通信システム株式会社: 選考厳格化で不安増、可視化により成長ルートは理解しやすい / 首都圏業務支援株式会社: 短期配属で学習密度は上がるが負荷と選別不安も増 / 北関東精密加工株式会社: 不安は増えるが面談と可視化で定着は底上げ、採用は狭まる 現役側には 未来通信システム株式会社: 再学習と配置転換が常態化、不安対策で説明・合意形成負荷が増加 / 首都圏業務支援株式会社: 再配置と監査責任で負担増。技能更新の圧力が上昇 / 北関東精密加工株式会社: 現場は不安増。多能工化とAI補助で負荷分散も再学習負担は増
FB015	15	社会反応	生活防衛シフト	1.00	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労96.6、公平感欠損91.7、生活防衛62.8	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
