step	planner_id	scenario_mode	model	diagnosis	policy_count	total_budget_cost_0to1	dominant_issue	adjustment_strategy
16	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧100と政策疲労73が臨界。公平感欠損も残り、制度不信が固定化しかけている。	2	0.60	政策疲労	減らして通す・外れ値救済
17	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧100と政策疲労66が高止まり。統合導入で窓口逼迫・取り残しが再燃しやすい。	2	0.36	政策疲労	統合の負荷分散と非強制の透明化
18	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	注意層95.7%で副作用圧100・政策疲労高止まり。拡大より“非強制の見える化+手続き負荷の分散”が先。	2	0.35	政策疲労	増やさず整える・非強制を可視化
19	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大で政策疲労も高止まり。公平感欠損と財政不安が手続き到達と信頼を阻害。	2	0.38	政策疲労	増設停止と副作用制御の上流固定
20	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が極大で疲労と公平感欠損が固定化、手続き前に不信と対象外感が詰まる	2	0.32	政策疲労	副作用優先の減速・救済再設計
21	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大化し政策疲労も高止まり。線引き不信と対象外反発が再燃しやすい。	2	0.30	政策疲労	増設せず副作用・線引きの可視化で鎮静
22	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大で制度不信が再燃。SNS不安下で異議処理滞留と説明過多が政策疲労を増幅。	2	0.32	政策疲労	副作用ボトルネック解消と最短導線固定
23	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大で政策疲労も高止まり。対象外感と手続き不信が二極化を押し広げる局面。	2	0.48	政策疲労	副作用沈静の先行固定＋対象外感の補償
24	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧100と政策疲労が高止まり。SNS不安下で監視誤認と対象外反発が増幅しやすい。	2	0.50	政策疲労	疲労抑制コミュニケーション＋公平感の補完
25	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大化し、政策疲労と対象外感が残存。増設より簡素化と補償の筋の統一が急務。	2	0.32	政策疲労	増設停止のまま信頼回復
26	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が極大で、制度拡張が疲労と線引き反発を増幅。まず簡素化と監査で信頼回復が要る。	2	0.46	政策疲労	増やさず整えて信頼回復
27	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	注意層が7割超で副作用圧100・政策疲労高止まり。追加より監査/説明/ケア緩衝で信頼回復が先。	2	0.66	政策疲労	副作用先回り＋ケア緩衝
28	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大で政策疲労も高止まり。施策追加より導線統合と非強制説明で反発と離脱を抑える局面。	2	0.26	政策疲労	統合導線＋非強制透明化
29	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	注意層80.8%で副作用圧100・政策疲労77.9。統合で導線は整うが待ち行列と誤認が再燃しやすい。	2	0.38	政策疲労	増やさず行列と誤認を先に潰す
30	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大化し政策疲労も高止まり。追加よりも手続き摩擦・誤認・対象外反発の沈静化が先。	2	0.30	政策疲労	副作用の減圧と摩擦最小化を先行
31	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大で政策疲労も高止まり、SNS不安下で手続き負担と対象外感が信頼を削っている	2	0.46	政策疲労	増やさず整えて対象外感を補償
32	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	SNS不安増幅下で副作用圧100・政策疲労71が先行し、利用到達より不信/誤解が再燃	2	0.36	政策疲労	増やさず誤解と待ち行列を潰す
33	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	SNS不安増幅下で副作用圧が最大、政策疲労も高止まり。追加より『負担の見通し化＋手続き摩擦の除去』が先。	2	0.38	政策疲労	負担見通し先出し・摩擦除去
34	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧100と政策疲労69.6が支配。SNS不安増幅下で手続き不信と対象外感が残り、注意層60.8が固定化。	2	0.30	政策疲労	増やさず信頼回復の順序最適化
35	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が上限、SNS不安で誤認増。政策疲労と公平感欠損が離脱を固定化。	2	0.22	政策疲労	減速＋透明化で再信頼
36	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大化。SNS不安で切り取り拡散→政策疲労と監視誤認が再燃。	2	0.24	政策疲労	増やさず補正・誤認耐性強化
37	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が天井で、SNS不安×政策疲労が手続き不信と対象外反発を再燃させている	2	0.30	政策疲労	増やさず統合＋監査可視化
38	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	注意層48%で政策疲労72.3と副作用圧100が限界。SNS不安で切り取り拡散→不信と対象外反発が再燃しやすい。	2	0.24	政策疲労	増やさず可視化を安全化
39	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が極大で疲労も高止まり。SNS不安下で切り取りが二極化と不信を増幅。	2	0.80	政策疲労	切り取り耐性×公平補償で鎮静
40	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大で政策疲労も高止まり。対象外感と不安増幅で信頼が伸びにくい。	2	0.90	政策疲労	増やさず補償と緩衝で信頼回復
41	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が極大でSNS不安×政策疲労が増幅。公平感は未回復で対象外反発が残る。	2	0.28	政策疲労	副作用先行の減速・統合運用
42	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が天井、政策疲労も高止まり。増設より統合・簡素化と異議処理が先。	2	0.32	政策疲労	統合して疲労を下げ、反発を先に潰す
43	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大でSNS不安と政策疲労が高止まり。新規追加より誤解・対象外感・手続き不安の再燃を先に潰す局面。	2	0.28	政策疲労	増やさず誤解と対象外感を減衰
44	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧94.5と政策疲労72.4がSNS不安で増幅し、注意層が制度から離脱しかけている。	2	0.40	政策疲労	副作用圧の先行減圧＋運用負荷の刈り取り
45	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が限界で不信が増幅。追加より簡素化と監査・説明で疲労を下げる局面。	2	0.41	政策疲労	副作用可視化＋手続き圧縮
46	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧100と政策疲労68.9が臨界。SNS不安増幅で誤認拡散、対象外反発が再燃しやすい。	2	0.40	政策疲労	増やさず誤認を減らす
47	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	SNS不安が切り取りを増幅し、副作用圧100・政策疲労高止まりで信頼が伸びにくい。	2	0.45	政策疲労	増やさず整える・任意化で摩擦低減
48	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧100と政策疲労が高止まり。即時予約は待ち行列不公平と特別扱い反発が火種。	2	0.32	政策疲労	公平性の先出し＋負荷最小化
49	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大で、SNS不安と政策疲労が手続き到達と信頼を削っている。	2	0.46	政策疲労	増やさず整え直す
50	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧100と政策疲労高止まり。公平感の穴とSNS不安で“制度は信用できない”が再燃中。	2	0.23	政策疲労	副作用可視化+負担最小化の再配列
51	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧100と政策疲労68.5が上振れ、SNS不安増幅下で強制感/対象外反発の誤認が再燃しやすい。	2	0.28	政策疲労	露出最小・処理滞留の鎮火
52	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大化し、SNS不安下で政策疲労と不透明感が制度信頼を削っている	2	0.25	政策疲労	副作用可視化と通知負荷の最小化
53	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	SNS不安増幅下で副作用圧が最大化。説明・通知過多と対象外感が政策疲労を押し上げている。	2	0.49	政策疲労	プッシュ最小化＋取りこぼし補償
54	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大でSNS不安が増幅、施策増が逆効果化し信頼と疲労が悪化中	2	0.45	政策疲労	増やさず統合＋副作用可視化
55	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧100と政策疲労63.5で不信が再燃しやすい。増やさず取りこぼしとケア詰まりを塞ぐ。	2	0.57	政策疲労	増やさず摩擦回収
56	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大化し、SNS不安で誤認拡散→制度不信と政策疲労が固定化しやすい	2	0.33	政策疲労	増やさず透明化と供給安定
57	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が上限で信頼が毀損リスク。追加より停止条件の明確化と疲労低減が先。	2	0.28	政策疲労	副作用即応の可視化＋通知の自己決定
58	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大で不信が再燃、SNS不安下で政策疲労が定着し離脱が増えやすい	2	0.28	政策疲労	副作用先行可視化＋通知自己決定で離脱止血
59	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大で、政策疲労と公平感欠損が中立層の離脱手前を作っている	2	0.30	政策疲労	統合・自動補償先行で信頼回復
60	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が天井で、政策疲労と対象外感が中立層の信頼回復を阻害。供給制約下で増設より分配設計が要。	2	0.44	政策疲労	対象外感の先回り補償＋希望者導線の最短化
61	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧100と政策疲労61が高止まり。SNS不安下で誤認拡散と対象外反発が再燃しやすい。	2	0.38	政策疲労	追加せず一本化・誤認耐性強化
62	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大で、SNS不安×政策疲労が説明不信と手続き離脱を増やす局面。	2	0.34	政策疲労	増やさず一本化＋副作用SLA前倒し
63	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が上限到達、政策疲労も高止まり。SNS不安で切り取り拡散が進み、制度信頼が揺れやすい。	2	0.36	政策疲労	副作用可視化+説明圧縮で鎮火
64	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が飽和し、政策疲労と財源不安がSNS不安増幅で固定化しつつある	2	0.30	政策疲労	副作用先行の減速運用
65	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大化し、SNS不安×財政不安で制度不信と政策疲労が同時進行。追加より運用統合が先。	2	0.44	政策疲労	副作用先行の統合・減速
66	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧100と政策疲労58が臨界。SNS不安増幅下で「隠蔽/強制」誤認と運用ブレが信頼を削る。	2	0.38	政策疲労	一本化の信頼補強（取りこぼし防止＋見える化）
67	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧100と政策疲労58が主因。SNS不安下で新規追加は反発・切り取り増のリスク、手続き一本化と公平補償が先。	2	0.38	政策疲労	副作用一本化+公平補償で信頼回復
68	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧100と政策疲労が高止まり。産後支援は効くが告知過多と不公平感で中立層が動けない。	2	0.38	政策疲労	増やさず束ねて摩擦削減
69	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧100と政策疲労62が支配的。SNS不安下で対象外反発と不信が固定化しやすい。	2	0.40	政策疲労	副作用先行の可視化+任意化で沈静化
70	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大で、通知・手続き疲労と対象外感が中立層を固着させている。	2	0.42	政策疲労	一本導線の安全弁＋対象外補償
71	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧100と政策疲労59が高止まり。新規追加より「説明統合+監査強化」で不信と対象外反発の連鎖を止める局面。	2	0.44	政策疲労	追加抑制の一本導線＋監査で信頼回復
