イベントID	step	区分	イベント名	強度_0to1	対象	主な影響方向	発生源	関連国	日本社会状態	若者への入力文	planner_action	delivery_channel	budget_cost_0to1	implementation_lag_steps	duration_steps	expected_effect	side_effect_watchpoints	adjustment_reason
PL009_01	10	政策探索	副作用監査の公開ダイジェスト+第三者レビュー枠	0.55	注意層（制度不信/監視懸念/現役納税/未婚・非出産選択者含む）と支援利用検討層	制度信頼↑ 副作用圧↓ 誤解↓ 二極化↓	LLM政策探索/構造持続あり+伴走支援	日本	SNS不安下で副作用圧が突出し、説明負荷と対象外感が政策疲労を増幅している。	不安が増えるほど、制度は自分を監視してるだけに見えて距離を置きたくなる。	amend	自治体	0.18	1	8	制度信頼↑ 副作用圧↓ 誤解↓ 二極化↓	説明過多による疲労再燃、監視強化と誤認される反発、自治体間の公開品質差、異議申立の一時的増加と滞留	副作用圧95.6が臨界で、支援拡大より先に『見える監査』で不信と炎上耐性を上げる必要があるため。
PL009_02	10	政策探索	通知・申請の週次まとめ配信+重要事項のみ即時（デフォルト）	0.50	政策疲労が高い注意層（手続き離脱/情報過敏は中〜低）	政策疲労↓ 情報過負荷↓ 誤解↓ 制度信頼↑	LLM政策探索/構造持続あり+伴走支援	日本	SNS不安下で副作用圧が突出し、説明負荷と対象外感が政策疲労を増幅している。	情報が多すぎて、結局どれも信用できず何もしないのが安全に感じる。	simplify	スマホ通知	0.09	1	6	政策疲労↓ 情報過負荷↓ 誤解↓ 制度信頼↑	重要情報の見落とし、デフォルト強制への反発、緊急連絡の優先判定ミス、支援到達率の一時低下	SNS不安増幅と通知連打は疲労を直撃するため、即時性を守りつつ“受け止められる頻度”へ強制デフォルトで戻す。
PL010_01	11	政策探索	異議申立・監査の滞留解消SLA強化+自治体格差補正	0.62	注意層（制度不信/現役納税/未婚・非出産選択者/手続き離脱）＋支援利用検討層	制度信頼↑ 副作用圧↓ 公平感↑ 政策疲労↓ 二極化↓	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が極端に高く、説明・通知の改善だけでは不信と公平感欠損が再燃。滞留と格差が二極化を増幅。	不安が拡散する中で、制度は結局うやむやにされて自分だけ損しそうに感じる。	amend	自治体	0.24	1	6	制度信頼↑ 副作用圧↓ 公平感↑ 政策疲労↓ 二極化↓	処理能力不足による再滞留、自治体間の運用品質差、監視強化と誤認される反発、異議申立急増による遅延	副作用圧95.6が最優先のボトルネックで、救済の遅さと地域差が対象外反発と不信を固定化しているため。
PL010_02	11	政策探索	対象外感の自動救済ルート（非強制・選択式）	0.50	対象外感が強い層（未婚・非出産選択者、参加困難層、現役納税層）	公平感↑ 対象外反発↓ 制度信頼↑ 政策疲労↓ 二極化↓	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が極端に高く、説明・通知の改善だけでは不信と公平感欠損が再燃。滞留と格差が二極化を増幅。	子どもを持つか以前に、対象外扱いで置き去りにされる怖さが強い。	compensate	相談窓口	0.18	1	8	公平感↑ 対象外反発↓ 制度信頼↑ 政策疲労↓ 二極化↓	不正申請・形骸化、救済の線引きへの反発、窓口逼迫、政策AIへの不信・監視懸念	公平感欠損55.8と疲労66.4の環境では、支援拡大より『対象外でも救済に到達できる』体験を先に作らないと中立への移動が起きにくい。
PL011_01	12	政策探索	異議・監査SLA即応+自治体格差補正（負荷制御付き）	0.62	注意層（制度不信/現役納税/未婚・非出産選択者/手続き離脱）＋支援検討層	制度信頼↑ 副作用圧↓ 公平感↑ 政策疲労↓ 二極化↓	LLM政策探索/構造持続あり+伴走支援	日本	SNS不安増幅下で副作用圧が最大化。滞留と対象外感が公平感欠損を増やし政策疲労を固定化。	不安情報ばかり流れてきて、制度も遅くて結局自分だけ損しそうに感じる。	amend	自治体	0.24	1	8	制度信頼↑ 副作用圧↓ 公平感↑ 政策疲労↓ 二極化↓	処理能力不足による再滞留、自治体間の運用品質差、監視強化と誤認される反発、異議申立急増による遅延	副作用圧100と疲労66の主因が『滞留=不公平の可視化』なので、まず詰まりを解消し信頼の床を作る。
PL011_02	12	政策探索	対象外感の自動救済ルート（オプトイン最小負担）	0.58	対象外感が強い層（未婚・非出産選択者、参加困難層、現役納税層）	公平感↑ 対象外反発↓ 制度信頼↑ 政策疲労↓ 二極化↓	LLM政策探索/構造持続あり+伴走支援	日本	SNS不安増幅下で副作用圧が最大化。滞留と対象外感が公平感欠損を増やし政策疲労を固定化。	子ども関連の話になると自分は対象外にされてる気がして、制度の話を聞くほど冷める。	compensate	スマホ通知	0.18	1	8	公平感↑ 対象外反発↓ 制度信頼↑ 政策疲労↓ 二極化↓	不正申請・形骸化、救済の線引きへの反発、窓口逼迫、政策AIへの不信・監視懸念	公平感欠損55を放置すると家族形成支援の前に反発が増えるため、非強制・選択式で『自分も対象』の回路を先に用意する。
PL012_01	13	政策探索	副作用監査の要点3分版+非強制・異議導線の明確化	0.50	注意層（制度不信/監視懸念/現役納税/未婚・非出産選択者/手続き離脱）	制度信頼↑ 誤解↓ 政策疲労↓ 対象外反発↓	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が最大で制度不信が再燃。公平感欠損と政策疲労が拡大し注意層が固定化。	制度は増えるのに自分に関係あるのか分からず、監視される感じだけが強い。	explain	スマホ通知	0.08	1	6	制度信頼↑ 誤解↓ 政策疲労↓ 対象外反発↓	説明過多で疲労が再燃、監視強化と誤認される反発、重要情報の見落とし	SNS不安増幅下では詳細公開が疲労と誤解を増やしやすく、要点化と非強制の明示で反発を先に抑える必要があるため。
PL012_02	13	政策探索	異議・救済の負荷制御（優先度別SLA+不正抑止の最小確認）	0.60	注意層（異議申立/救済利用見込み）＋自治体窓口逼迫地域	制度信頼↑ 副作用圧↓ 公平感↑ 二極化↓ 政策疲労↓	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が最大で制度不信が再燃。公平感欠損と政策疲労が拡大し注意層が固定化。	困った時に申請しても遅くて通らない気がして、最初から諦めてしまう。	amend	自治体	0.22	1	8	制度信頼↑ 副作用圧↓ 公平感↑ 二極化↓ 政策疲労↓	線引きへの反発、窓口逼迫の再燃、不正申請の増加、自治体間の運用品質差	副作用圧100では異議・救済の滞留や不正疑念が信頼を直撃するため、負荷制御と最小確認で“遅い/不公平”の印象を先に削る。
PL013_01	14	政策探索	不安増幅時の通知縮退＋重要二段階（可逆デフォルト）	0.62	注意層（手続き離脱/制度不信/情報過敏）＋現役納税層	政策疲労↓ 情報過負荷↓ 誤解↓ 制度信頼↑ 手続き到達↑	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が最大化し、SNS不安で誤解拡散・政策疲労と公平感欠損が固定化。	情報が多すぎて何が必須か分からず、結局何もしないのが安全に見える。	amend	スマホ通知	0.14	1	8	政策疲労↓ 情報過負荷↓ 誤解↓ 制度信頼↑ 手続き到達↑	重要情報の見落とし、デフォルト強制と誤認される反発、支援到達率の一時低下	SNS不安増幅下では“追加”よりも通知量と意思決定負荷を先に下げないと、副作用監査や救済の信頼効果が発揮されないため。
PL013_02	14	政策探索	誤解訂正カード＋異議/救済の最短導線（非強制）	0.58	注意層（監視懸念/対象外感/誤情報影響）＋未婚・非出産選択者を含む全体	制度信頼↑ 誤解↓ 対象外反発↓ 二極化↓ 副作用圧↓	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が最大化し、SNS不安で誤解拡散・政策疲労と公平感欠損が固定化。	結局こっちが損しない仕組みかどうか、短く確かめられないと信用できない。	explain	自治体	0.18	1	8	制度信頼↑ 誤解↓ 対象外反発↓ 二極化↓ 副作用圧↓	説明過多による疲労再燃、監視強化と誤認される反発、異議申立の一時的増加と滞留	副作用圧100の局面では、内容の正しさより“短く・非強制で・異議と救済に直結”する説明がないと、炎上と不信が自己増幅するため。
PL014_01	15	政策探索	不安期の通知・説明ワンパッケージ（週次+重要二段階）	0.60	注意層（手続き離脱/制度不信/情報過敏）＋現役納税層＋対象外感が強い層	政策疲労↓ 情報過負荷↓ 誤解↓ 制度信頼↑ 手続き到達↑ 二極化↓	LLM政策探索/構造持続あり+伴走支援	日本	SNS不安で誤解と申立が増えやすく、政策疲労と公平感欠損が固定化しつつある	不安情報が多すぎて、何が本当で何をすればいいか分からない	simplify	スマホ通知	0.14	1	8	政策疲労↓ 情報過負荷↓ 誤解↓ 制度信頼↑ 手続き到達↑ 二極化↓	重要情報の見落とし、デフォルト強制と誤認、支援到達率の一時低下、説明過多の再燃	副作用圧が最大で、説明追加は逆に疲労を増やす局面のため、可逆デフォルトで“減らして伝える”を優先する
PL014_02	15	政策探索	異議/救済の渋滞防止（優先SLA+線引き透明化の最小提示）	0.55	注意層（異議申立/救済利用見込み）＋自治体窓口逼迫地域＋対象外感が強い層	制度信頼↑ 副作用圧↓ 公平感↑ 政策疲労↓ 二極化↓	LLM政策探索/構造持続あり+伴走支援	日本	SNS不安で誤解と申立が増えやすく、政策疲労と公平感欠損が固定化しつつある	申請しても返事が遅いと、制度は結局あてにならないと感じる	amend	自治体	0.22	1	8	制度信頼↑ 副作用圧↓ 公平感↑ 政策疲労↓ 二極化↓	線引きへの反発、窓口逼迫の再燃、不正申請の増加、自治体間の運用品質差	誤解訂正・導線短縮は申立流入も増やすため、先に滞留を防いで“使った人ほど損する”感を抑える必要がある
PL015_01	16	政策探索	新規施策の一時凍結+既存2本の統合運用	0.60	注意層（手続き離脱/制度不信/現役納税/未婚・非出産選択者含む）と自治体窓口	政策疲労↓ 副作用圧↓ 制度信頼↑ 二極化↓	LLM政策探索/構造持続あり+伴走支援	日本	注意層85.6%で副作用圧100・政策疲労73。新規追加より運用負荷と対象外反発の沈静化が先。	制度が増えすぎて追えず、どれが自分に関係あるのか分からない。	sequence	自治体	0.12	1	6	政策疲労↓ 副作用圧↓ 制度信頼↑ 二極化↓	支援到達率の一時低下、『後退』と誤認される反発、現場の統合作業負荷	副作用圧が上限で、これ以上の施策追加は疲労と反発を増やす。まず運用を減らし、既存（通知ワンパッケージ＋異議/救済渋滞防止）を一本化して迷いと窓口負荷を下げる。
PL015_02	16	政策探索	重要情報見落とし防止の可逆設定（強制感ゼロ）	0.55	注意層（情報過敏/監視懸念/手続き離脱）＋支援利用検討層	政策疲労↓ 誤解↓ 手続き到達↑ 制度信頼↑ 公平感↑	LLM政策探索/構造持続あり+伴走支援	日本	注意層85.6%で副作用圧100・政策疲労73。新規追加より運用負荷と対象外反発の沈静化が先。	通知を減らしたいけど、減らすと損しそうで怖い。	amend	スマホ通知	0.16	1	8	政策疲労↓ 誤解↓ 手続き到達↑ 制度信頼↑ 公平感↑	デフォルト強制と誤認される反発、重要通知の過剰判定、『監視強化』の誤解	週次+二段階は有効だが『見落とし』と『強制感』が反発点になりやすい。オプトアウト可視化（1タップで解除/復帰）と、重要判定の理由を最小表示して副作用を下げる。
PL016_01	17	政策探索	統合ワンストップ+即時予約（オプトイン）	0.62	注意層（手続き離脱/情報過敏/制度不信）＋支援検討層	手続き到達↑ 政策疲労↓ 制度信頼↑ 副作用圧↓	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧100と政策疲労73が臨界。公平感欠損も残り、制度不信が固定化しかけている。	制度が多すぎてどこから手を付ければいいか分からず、結局先延ばしになる。	simplify	自治体	0.28	1	8	手続き到達↑ 政策疲労↓ 制度信頼↑ 副作用圧↓	窓口逼迫の再燃、デジタル弱者の取り残し、統合が『強制』と誤認される反発、重要情報の見落とし	新規凍結下でも“迷わず進める1本線”にすると疲労と副作用の同時低下が狙えるため。
PL016_02	18	政策探索	対象外感ミニ救済（社会維持活動nat報酬の小規模枠）	0.50	対象外感が強い層（未婚・非出産選択者/現役納税層/参加困難層）	公平感↑ 対象外反発↓ 制度信頼↑ 二極化↓	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧100と政策疲労73が臨界。公平感欠損も残り、制度不信が固定化しかけている。	子ども施策だけだと自分は関係ない気がして、税や制度への納得が落ちる。	compensate	地域	0.32	2	8	公平感↑ 対象外反発↓ 制度信頼↑ 二極化↓	線引き不満の再燃、不正・形骸化、財政不安の増幅、『参加圧』と受け取られる反発	家族形成支援を否定せず、非出産選択を不利益化しない形で“貢献の可視化”を入れ、公平感の穴を埋めるため。
PL017_01	18	政策探索	ワンストップの負荷分散＋代理・同伴予約（非強制）	0.58	注意層（手続き離脱/情報過敏/デジタル弱者）＋自治体窓口逼迫地域	手続き到達↑ 政策疲労↓ 不公平感↓ 制度信頼↑	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧100と政策疲労66が高止まり。統合導入で窓口逼迫・取り残しが再燃しやすい。	支援はあるらしいが、手続きが難しくて自分は取り残されそうだと感じる。	amend	自治体	0.24	1	8	手続き到達↑ 政策疲労↓ 不公平感↓ 制度信頼↑	窓口逼迫の再燃、対象外感、代理運用の線引き反発、不正・なりすまし懸念	統合導入直後は処理能力がボトルネック化し、取り残しが不信と疲労を増幅するため、予約導線の多重化と負荷分散を先に入れる。
PL017_02	17	政策探索	非強制・異議/救済の1枚設計図＋停止条件の明記	0.42	注意層（制度不信/監視懸念/現役納税/未婚・非出産選択者含む）＋支援検討層	制度信頼↑ 誤解↓ 政策疲労↓ 対象外反発↓ 副作用圧↓	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧100と政策疲労66が高止まり。統合導入で窓口逼迫・取り残しが再燃しやすい。	やらされる感じや監視っぽさが怖いので、選べて止められて異議できるのか知りたい。	explain	スマホ通知	0.12	0	6	制度信頼↑ 誤解↓ 政策疲労↓ 対象外反発↓ 副作用圧↓	説明過多による疲労再燃、監視強化と誤認される反発、異議申立の一時急増、重要情報の見落とし	財政圧力下では『拡大』より『止められる/選べる/異議できる』の可視化が信頼回復の近道で、対象外反発と副作用圧100の緩和に直結するため。
PL018_01	19	政策探索	非強制・停止条件つき1枚設計図を最上流に固定	0.62	注意層（制度不信/監視懸念/対象外感/手続き離脱/現役納税/未婚・非出産選択者含む）	制度信頼↑ 誤解↓ 副作用圧↓ 政策疲労↓ 対象外反発↓	LLM政策探索/構造持続あり+伴走支援	日本	注意層95.7%で副作用圧100・政策疲労高止まり。拡大より“非強制の見える化+手続き負荷の分散”が先。	制度が増えるほど監視や強制に見えて不安で、結局どこまで任意なのか分からない。	explain	スマホ通知	0.11	1	8	制度信頼↑ 誤解↓ 副作用圧↓ 政策疲労↓ 対象外反発↓	説明過多による疲労再燃、監視強化と誤認される反発、異議申立の一時増加、重要情報の見落とし	副作用圧が最大で、施策追加は反発・疲労を増やしやすい。統合窓口の入口で“非強制・異議/救済・停止条件”を最短で理解可能にし、誤解起点の抵抗と離脱を先に減らす。
PL018_02	19	政策探索	ワンストップ負荷分散+代理・同伴予約を前倒し（非強制）	0.58	注意層（デジタル弱者/情報過敏/手続き離脱）＋自治体窓口逼迫地域＋支援検討層	手続き到達↑ 政策疲労↓ 不公平感↓ 制度信頼↑ 二極化↓	LLM政策探索/構造持続あり+伴走支援	日本	注意層95.7%で副作用圧100・政策疲労高止まり。拡大より“非強制の見える化+手続き負荷の分散”が先。	結局手続きが難しくて辿り着けない人が損していて、得する人だけが得してる感じがする。	amend	自治体	0.24	1	8	手続き到達↑ 政策疲労↓ 不公平感↓ 制度信頼↑ 二極化↓	窓口逼迫の再燃、代理運用の線引き反発、不正・なりすまし懸念、対象外感の再燃	財政圧力が高い局面では“新規給付の拡大”より、既存導線の詰まり解消が費用対効果が高い。ワンストップの一点集中が疲労と不公平感を生むため、代理・同伴と分散で到達率を落とさず反発を抑える。
