イベントID	step	区分	イベント名	強度_0to1	対象	主な影響方向	発生源	関連国	日本社会状態	若者への入力文	planner_action	delivery_channel	budget_cost_0to1	implementation_lag_steps	duration_steps	expected_effect	side_effect_watchpoints	adjustment_reason
PL006_01	7	政策探索	入口一本化の負荷分散（予約・分岐・代行）	0.62	注意層（非正規・単身・ケア併走・失職リスク）と窓口職員、自治体資源が弱い地域	待ち時間↓ 政策疲労↓ 制度信頼↑ 対象外反発↓ 公平感↑	LLM政策探索/構造持続あり	日本	副作用圧100と政策疲労61が支配。入口集中と説明過多が不信・対象外感を増幅。	手続きが混んでいて先が読めず、助けがあっても辿り着けない感覚が強い。	amend	自治体	0.22	1	8	待ち時間↓ 政策疲労↓ 制度信頼↑ 対象外反発↓ 公平感↑	デジタル弱者の排除、一次判定の誤振り分け、入口集中による局所混雑	供給網不安下で制度余力が低く、追加施策より運用ボトルネック解消が副作用圧と疲労を同時に下げるため。
PL006_02	6	政策探索	非強制・最小情報の個別説明（1枚要約＋選択式）	0.48	注意層（手続き疲れ・情報過敏が高い層）と申立て利用者、窓口職員	情報過多↓ 政策疲労↓ 申立て品質↑ 対象外反発↓ 制度信頼↑	LLM政策探索/構造持続あり	日本	副作用圧100と政策疲労61が支配。入口集中と説明過多が不信・対象外感を増幅。	情報が多すぎて判断できず、間違えると損をする不安が常にある。	explain	相談窓口	0.11	0	6	情報過多↓ 政策疲労↓ 申立て品質↑ 対象外反発↓ 制度信頼↑	説明が強制に見える誤読、情報が少なすぎる不信、現場負担の増加	公平感欠損57が高く、追加給付より『選べる説明』で強制感を抑えつつ救済ルート到達率を上げる必要があるため。
PL007_01	8	政策探索	入口一本化の負荷分散（予約・分岐・代行）をアナログ併設で強化	0.60	注意層（非正規・単身・ケア併走・失職リスク）とデジタル弱者、窓口職員	待ち時間↓ 政策疲労↓ 制度信頼↑ 対象外反発↓ 公平感↑	LLM政策探索/構造持続あり	日本	副作用圧100と政策疲労64.6が突出。供給網不安下で窓口混雑と不公平感が増幅。	不安は増えるのに手続きが複雑で、並ぶほど損をする社会に見える。	amend	自治体	0.22	1	8	待ち時間↓ 政策疲労↓ 制度信頼↑ 対象外反発↓ 公平感↑	デジタル弱者の排除、一次判定の誤振り分け、局所混雑の再発、現場疲弊	供給網不安で生活防衛需要が増える局面ほど、入口渋滞が副作用・不信・疲労を増幅するため、予約/分岐/代行を標準化して摩擦を下げる。
PL007_02	7	政策探索	非強制・最小情報の個別説明（1枚要約＋選択式）を入口で必須化せず選択提供	0.55	注意層（手続き疲れ・情報過敏が高い層）と申立て利用者、窓口職員	情報過多↓ 政策疲労↓ 申立て品質↑ 対象外反発↓ 制度信頼↑	LLM政策探索/構造持続あり	日本	副作用圧100と政策疲労64.6が突出。供給網不安下で窓口混雑と不公平感が増幅。	制度の意図が見えず、知らないうちに対象外になって責められる感じがする。	explain	相談窓口	0.11	0	6	情報過多↓ 政策疲労↓ 申立て品質↑ 対象外反発↓ 制度信頼↑	説明が強制に見える誤読、情報が少なすぎる不信、現場の追加負担、対象外感の残存	副作用圧が最大のため『説明の押し付け』を避けつつ、異議申立と救済ルートを最短で理解できる形にして、疲労と不公平感を同時に下げる。
PL008_01	9	政策探索	副作用監査・異議申立の第三者レビュー＋月次公開	0.62	注意層（非正規・単身・ケア併走・失職リスク）と窓口職員、対象外反発が強い層	制度信頼↑ 政策疲労↓ 不安増幅↓ 対象外反発↓ 公平感↑	LLM政策探索/構造持続あり	日本	副作用圧が極大で、公平感欠損と政策疲労が固定化。入口強化だけでは不信が残る。	どれだけ頑張っても制度に弾かれそうで、理由も改善も見えない。	add	自治体	0.18	1	8	制度信頼↑ 政策疲労↓ 不安増幅↓ 対象外反発↓ 公平感↑	監視強化に見える強制感、現場負荷の再増、公開情報が炎上材料になる、改善が遅いと失望が増幅	副作用圧100の局面では、施策追加より『害の検知→是正→説明』の循環を制度化し、納得の再構築が先。
PL008_02	9	政策探索	対象条件のグレー救済（暫定承認・後追い調整）で境界争いを減らす	0.58	参加不規則層（ケア・疾患・単身・失職リスク）と『対象外』になりやすい周辺層、自治体資源が弱い地域	対象外感↓ 公平感↑ 生活防衛↑ 政策疲労↓ 制度信頼↑	LLM政策探索/構造持続あり	日本	副作用圧が極大で、公平感欠損と政策疲労が固定化。入口強化だけでは不信が残る。	少し条件が違うだけで切り捨てられる気がして、申請する気力が削れる。	amend	相談窓口	0.26	1	8	対象外感↓ 公平感↑ 生活防衛↑ 政策疲労↓ 制度信頼↑	不正・水増しの増加、基準の不透明化、後追い調整で返還不安が増える、自治体間運用差の拡大	束ね直しで境界争いが起きやすい段階なので、入口で落とさず暫定救済し、後で誤差調整する順序に変えて分断を抑える。
PL009_01	10	政策探索	暫定承認の返還不安カット（非返還ゾーン＋運用統一）	0.62	参加不規則層（ケア・疾患・単身・失職リスク）と境界にいる周辺層、自治体資源が弱い地域	対象外感↓ 公平感↑ 生活防衛↑ 政策疲労↓ 制度信頼↑	LLM政策探索/構造持続あり	日本	副作用圧100で不信と疲労が拡大、境界層の対象外感がSNSで増幅し二極化が進行。	頑張っても条件の境目で弾かれ、後から請求されるかもという不安がずっと頭から離れない。	amend	自治体	0.28	1	10	対象外感↓ 公平感↑ 生活防衛↑ 政策疲労↓ 制度信頼↑	不正・水増し、基準の不透明化、自治体間運用差、返還不安の再燃	暫定承認は効くが『後で返される』恐怖がSNS不安を増幅するため、非返還ゾーンと運用統一で心理的コストを下げる。
PL009_02	9	政策探索	副作用公開の順序再設計（要約→対話→月次公開）	0.50	注意層（非正規・単身・ケア併走・失職リスク）と対象外反発が強い層、窓口職員	不安増幅↓ 政策疲労↓ 制度信頼↑ 対象外反発↓ 公平感↑	LLM政策探索/構造持続あり	日本	副作用圧100で不信と疲労が拡大、境界層の対象外感がSNSで増幅し二極化が進行。	制度の話は難しいまま切り取られて流れ、結局誰も守ってくれない感じだけが強くなる。	sequence	スマホ通知	0.16	0	8	不安増幅↓ 政策疲労↓ 制度信頼↑ 対象外反発↓ 公平感↑	監視強化に見える強制感、情報過多、公開情報の炎上材料化、改善遅延による失望	第三者レビューの公開は信頼に効くが、今のSNS圧では生データが炎上燃料になるため、先に短い要約と異議申立の動線を出して受け止め先を作る。
PL010_01	11	政策探索	副作用公開の炎上抑制シーケンス（要約→対話→月次）	0.58	注意層（不安増幅・手続き疲れ）と対象外反発が強い層、窓口職員	不安増幅↓ 政策疲労↓ 制度信頼↑ 対象外反発↓ 公平感↑	LLM政策探索/構造持続あり	日本	副作用圧100で炎上・不信が増幅し、政策疲労と公平感欠損が固定化しつつある。	情報が多すぎて何が本当か分からず、制度は自分に厳しいだけに見える。	sequence	自治体	0.16	1	8	不安増幅↓ 政策疲労↓ 制度信頼↑ 対象外反発↓ 公平感↑	公開情報の炎上材料化、監視強化に見える強制感、改善遅延による失望、現場負荷の再増	SNS不安増幅が高く、副作用公開が『監視/攻撃材料』に転じやすい局面のため、対話を挟んで誤読と敵対を減らす。
PL010_02	10	政策探索	暫定承認・非返還ゾーンの1枚説明（選択式＋不正対策の明示）	0.50	境界にいる周辺層（対象外になりやすい）と参加不規則層、相談員	返還不安↓ 対象外感↓ 政策疲労↓ 制度信頼↑ 生活防衛↑	LLM政策探索/構造持続あり	日本	副作用圧100で炎上・不信が増幅し、政策疲労と公平感欠損が固定化しつつある。	助けは欲しいが、後で返せと言われそうで申請が怖い。	explain	相談窓口	0.10	0	6	返還不安↓ 対象外感↓ 政策疲労↓ 制度信頼↑ 生活防衛↑	説明が強制に見える誤読、情報が少なすぎる不信、『ズルい』認知による反発、現場の追加負担	副作用圧が最大で、境界救済が『不透明/不公平』と読まれるリスクが高いので、最小情報でルールと不正対策を先に固定し疲労を下げる。
PL011_01	12	政策探索	暫定承認・非返還・入口一本化の統合フロー（様式統一＋アナログ選択）	0.62	注意層（非正規・単身・ケア併走・失職リスク）と境界層、窓口職員	政策疲労↓ 公平感↑ 対象外反発↓ 生活防衛↑ 制度信頼↑	LLM政策探索/構造持続あり	日本	副作用圧100と政策疲労70.7が高止まり。SNS不安で誤解と反発が増幅しやすい。	制度が増えるほど自分の番だけ複雑になり、間違える恐怖が増えている。	simplify	自治体	0.30	1	10	政策疲労↓ 公平感↑ 対象外反発↓ 生活防衛↑ 制度信頼↑	自治体間運用差の拡大、一次判定の誤振り分け、デジタル弱者の排除、不正・水増しへの疑念	施策追加より“同じ話が別窓口で繰り返される”摩擦を削り、悪化層の疲労と不信を先に止めるため。
PL011_02	12	政策探索	副作用公開の炎上抑制強化（要約→対話→月次＋公開粒度の段階化）	0.57	注意層（不安増幅・手続き疲れ）と対象外反発が強い層、窓口職員	不安増幅↓ 政策疲労↓ 制度信頼↑ 公平感↑ 申立て品質↑	LLM政策探索/構造持続あり	日本	副作用圧100と政策疲労70.7が高止まり。SNS不安で誤解と反発が増幅しやすい。	説明がいきなり公開で流れてくると責められている感じがして、余計に不安になる。	sequence	スマホ通知	0.14	1	8	不安増幅↓ 政策疲労↓ 制度信頼↑ 公平感↑ 申立て品質↑	監視強化に見える強制感、情報過多の再燃、公開情報の切り取り炎上、改善遅延による失望	副作用圧が最大のため、公開の仕方を誤るとSNS不安で二極化が進む。順序と粒度で“燃えにくさ”を先に設計する。
PL012_01	13	政策探索	境界救済の運用統一＋不正対策の可視化	0.60	境界層（対象外になりやすい周辺層）と参加不規則層、自治体職員	対象外反発↓ 公平感↑ 制度信頼↑ 政策疲労↓	LLM政策探索/構造持続あり	日本	副作用圧100と政策疲労72が臨界。境界層の対象外反発がSNS不安を増幅。	困った時にルールが自治体で変わり、説明も曖昧で置いていかれる感じがする。	amend	自治体	0.20	1	10	対象外反発↓ 公平感↑ 制度信頼↑ 政策疲労↓	不正・水増し認知、自治体間運用差、基準の不透明化、政策疲労	SNS不安増幅下では『ズルい/恣意的』認知が最大の炎上燃料。救済を維持しつつ運用差と不正不安を先に潰す。
PL012_02	12	政策探索	副作用・申立ての先行対話→要約→月次の順序固定	0.55	注意層（不安増幅・手続き疲れ）と対象外反発が強い層、窓口職員	不安増幅↓ 政策疲労↓ 申立て品質↑ 制度信頼↑	LLM政策探索/構造持続あり	日本	副作用圧100と政策疲労72が臨界。境界層の対象外反発がSNS不安を増幅。	数字だけ出されても怖いので、何が起きていてどう直すかを先に話してほしい。	sequence	相談窓口	0.14	0	8	不安増幅↓ 政策疲労↓ 申立て品質↑ 制度信頼↑	監視強化に見える強制感、情報過多、切り取り炎上、現場負荷	公開を急ぐほど炎上し、疲労と不信が増える局面。公開前に『対話で解釈を揃える』順序を固定して副作用圧を下げる。
PL013_01	14	政策探索	統合フロー誤振分け救済＋代行強化	0.58	注意層（手続き疲れ・情報過敏）/境界層/デジタル弱者/窓口職員	政策疲労↓ 対象外感↓ 公平感↑ 制度信頼↑ 生活防衛↑	LLM政策探索/構造持続あり	日本	SNS不安増幅下で副作用圧が限界、説明と運用差が炎上し政策疲労と対象外反発が固定化	どの制度も手続きが怖くて、間違えたら終わりだと思ってしまう	amend	自治体	0.24	1	10	政策疲労↓ 対象外感↓ 公平感↑ 制度信頼↑ 生活防衛↑	代行の取りこぼし、一次判定の誤振り分け、自治体間運用差、現場負荷の再増	副作用圧100と政策疲労72.6の局面では新規拡大より、誤振分けと運用差が生む不信を先に吸収して炎上燃料を減らす必要があるため
PL013_02	13	政策探索	副作用・申立ての超軽量『先行対話』常設	0.52	注意層（不安増幅・対象外反発）/申立て利用者/窓口職員/地域の支援者	不安増幅↓ 政策疲労↓ 申立て品質↑ 制度信頼↑ 対象外反発↓	LLM政策探索/構造持続あり	日本	SNS不安増幅下で副作用圧が限界、説明と運用差が炎上し政策疲労と対象外反発が固定化	ニュースやSNSで不安が増えるのに、公式の説明は遅くて遠い	sequence	相談窓口	0.16	0	8	不安増幅↓ 政策疲労↓ 申立て品質↑ 制度信頼↑ 対象外反発↓	監視強化に見える強制感、情報過多の再燃、切り取り炎上、回答遅延による失望	SNS不安増幅84.8の環境では公開や説明が拡散前に歪むため、月次公開の前段に『短い対話→要約』を固定し、疑念の初期火種を小さく消す順序が必要なため
PL014_01	15	政策探索	誤振分け救済＋代行ワンストップ強化（統合フロー補修）	0.60	注意層（手続き疲れ・情報過敏）/境界層/デジタル弱者/窓口職員	対象外感↓ 政策疲労↓ 公平感↑ 制度信頼↑ 生活防衛↑	LLM政策探索/構造持続あり	日本	副作用圧100と政策疲労76が臨界。追加より誤振分け救済と説明順序で不安連鎖を止める。	申請や説明が複雑で、少しつまずくと置き去りにされる感じがする。	amend	自治体	0.24	1	8	対象外感↓ 政策疲労↓ 公平感↑ 制度信頼↑ 生活防衛↑	代行の取りこぼし、自治体間運用差、現場負荷の再増、不正・水増し認知	平均ではなく『入口で落ちる層』の摩耗が主因。誤振分けの即時救済と代行で離脱を止める。
PL014_02	15	政策探索	副作用・申立ての超軽量『先行対話』→要約→月次公開の固定（切り取り耐性付き）	0.55	注意層（不安増幅・手続き疲れ）/対象外反発が強い層/申立て利用者/窓口職員	不安増幅↓ 政策疲労↓ 申立て品質↑ 制度信頼↑ 対象外反発↓	LLM政策探索/構造持続あり	日本	副作用圧100と政策疲労76が臨界。追加より誤振分け救済と説明順序で不安連鎖を止める。	毎月の情報が怖くて追えないから、先に相談できて要点だけ知りたい。	sequence	相談窓口	0.16	1	8	不安増幅↓ 政策疲労↓ 申立て品質↑ 制度信頼↑ 対象外反発↓	監視強化に見える強制感、情報過多の再燃、切り取り炎上、回答遅延による失望	SNS不安増幅が高く、公開が燃料化しやすい局面。公開前に対話で誤解と怒りを減衰させ、月次は要点中心にする。
PL015_01	16	政策探索	副作用監査・異議申立ての一体化（非強制・要点返信）	0.62	注意層（手続き疲れ・不安増幅）/境界層/対象外反発が強い層/窓口職員	政策疲労↓ 制度信頼↑ 公平感↑ 不安増幅↓ 申立て品質↑	LLM政策探索/構造持続あり	日本	副作用懸念が最大化し、手続き疲れと公平感欠損が政策疲労を固定化している	制度は増えるのに、困った時に誰もちゃんと聞いてくれない感じがする。	amend	相談窓口	0.22	1	10	政策疲労↓ 制度信頼↑ 公平感↑ 不安増幅↓ 申立て品質↑	監視強化に見える強制感、情報過多の再燃、回答遅延による失望、切り取り炎上	副作用圧が100で、追加施策より『言い分が届く・要点で返る』回路の整備が先。説明と申立てを分断せず、既存フローの負荷を下げて信頼を回復するため。
PL015_02	17	政策探索	社会維持活動の小口nat報酬（ケア・地域維持の可視化）	0.52	ケア併走層/参加不規則層/単身・非正規の生活防衛弱い層/地域の支援者	生活防衛↑ 公平感↑ 希望不足↓ 制度信頼↑ 二極化↓	LLM政策探索/構造持続あり	日本	副作用懸念が最大化し、手続き疲れと公平感欠損が政策疲労を固定化している	頑張っても生活が守られず、社会に必要とされている実感が薄い。	add	地域	0.28	2	8	生活防衛↑ 公平感↑ 希望不足↓ 制度信頼↑ 二極化↓	『働け』圧としての誤読、対象外感（参加できない層の反発）、不正・水増し認知、現場（認定側）負荷の増加	財政圧が強く現金給付の拡大は難しい一方、生活防衛が低い。『社会維持の役割』を小規模に報酬化して、役割と尊厳の回復から分断と反発を弱める補完策として投入するため。
PL016_01	17	政策探索	全国最小仕様の統合フロー＋自治体差の見える化	0.62	注意層（手続き疲れ）/境界層/デジタル弱者/窓口職員	政策疲労↓ 公平感↑ 対象外感↓ 制度信頼↑ 生活防衛↑	LLM政策探索/構造持続あり	日本	副作用懸念が飽和し、手続き疲れと自治体差が公平感を削って制度不信が固定化しつつある	手続きが地域で違いすぎて、頑張っても報われない感じがする	simplify	自治体	0.32	1	8	政策疲労↓ 公平感↑ 対象外感↓ 制度信頼↑ 生活防衛↑	画一化による取りこぼし、監視強化に見える強制感、現場負荷の再増、不正・水増し認知の再燃	副作用圧が最大の局面で、自治体差と誤振分けが『ズルい/不公平』に直結し政策疲労を増幅しているため、追加施策より運用差の縮小を優先する
PL016_02	16	政策探索	申立て一体化の要点返信SLA＋遅延の非強制説明	0.52	申立て利用者/注意層（不安増幅）/対象外反発が強い層/窓口職員	不安増幅↓ 政策疲労↓ 制度信頼↑ 申立て品質↑ 対象外反発↓	LLM政策探索/構造持続あり	日本	副作用懸念が飽和し、手続き疲れと自治体差が公平感を削って制度不信が固定化しつつある	申立てしても返事が遅いと、最初から無理だと思って黙るしかなくなる	amend	相談窓口	0.18	0	6	不安増幅↓ 政策疲労↓ 制度信頼↑ 申立て品質↑ 対象外反発↓	返信の定型化による不信、公開情報の切り取り炎上、現場のボトルネック固定化、『結局放置』認知の再燃	副作用監査・申立てを一体化しても、回答遅延が続くと失望が最大化し逆効果になりやすいので、返答の最低保証と遅延理由の非強制説明で失望ループを断つ
PL017_01	18	政策探索	申立て一体化の『要点返信＋次の一手』二層説明	0.62	注意層（手続き疲れ・不安増幅）/対象外反発が強い層/申立て利用者/窓口職員	政策疲労↓ 不安増幅↓ 制度信頼↑ 公平感↑ 申立て品質↑	LLM政策探索/構造持続あり	日本	副作用圧100と政策疲労75.5が臨界。増やすより、説明・申立て・対象条件の歪みを整えないと反発が固定化。	制度が何をしてくれるかより、結局自分は対象外で放置される気がして疲れている。	explain	自治体	0.12	1	8	政策疲労↓ 不安増幅↓ 制度信頼↑ 公平感↑ 申立て品質↑	定型文だと感じる不信、情報過多の再燃、回答遅延による失望、切り取り炎上	副作用圧が最大で、追加より『理解と次行動の迷子』を解消するのが最短。詳細は任意（押し付けない）で強制感も抑える。
PL017_02	18	政策探索	社会維持nat報酬の『参加困難者救済枠』追加（非強制）	0.58	参加できない層（病気・障害・重いケア・孤立）/ケア併走層/単身・非正規の生活防衛弱い層	対象外感↓ 公平感↑ 二極化↓ 生活防衛↑ 制度信頼↑	LLM政策探索/構造持続あり	日本	副作用圧100と政策疲労75.5が臨界。増やすより、説明・申立て・対象条件の歪みを整えないと反発が固定化。	動けない事情があるときに『何もしてない側』にされるのが一番きつい。	amend	相談窓口	0.18	1	8	対象外感↓ 公平感↑ 二極化↓ 生活防衛↑ 制度信頼↑	『働け』圧としての誤読、不正・水増し認知、認定側負荷の増加、政策疲労の再増	報酬化は希望と生活防衛に効く一方、参加不能者の反発で二極化しやすい。対象条件を補正し、非強制の自己申告＋後追い監査に寄せて副作用を抑える。
PL018_01	19	政策探索	申立て二層返信の先行固定＋通知間引き	0.60	注意層（不安増幅・手続き疲れ）/申立て利用者/窓口職員	政策疲労↓ 不安増幅↓ 制度信頼↑ 申立て品質↑ 公平感↑	LLM政策探索/構造持続あり	日本	政策疲労と副作用圧が限界。説明過多と対象外感が公平感を毀損。	制度の情報が多すぎて、結局どこに相談すればいいのか分からない。	sequence	自治体	0.12	1	8	政策疲労↓ 不安増幅↓ 制度信頼↑ 申立て品質↑ 公平感↑	定型文不信、情報過多の再燃、回答遅延による失望、切り取り炎上	副作用圧100%で『増やすほど疲れる』局面のため、順序と情報量を先に制御して離脱を止める。
PL018_02	19	政策探索	社会維持nat報酬の参加困難者救済枠（自動・非強制）	0.55	参加できない層（病気・障害・重いケア・孤立）/単身・非正規の生活防衛弱い層/ケア併走層	対象外感↓ 公平感↑ 二極化↓ 生活防衛↑ 制度信頼↑	LLM政策探索/構造持続あり	日本	政策疲労と副作用圧が限界。説明過多と対象外感が公平感を毀損。	頑張りたくても参加できない時に、見捨てられている感じが一番きつい。	amend	相談窓口	0.18	1	8	対象外感↓ 公平感↑ 二極化↓ 生活防衛↑ 制度信頼↑	『働け』圧としての誤読、不正・水増し認知、認定側負荷の増加、政策疲労の再増	小口報酬は有効だが、参加不能層の反発が二極化と不信を増幅しうるため、先に救済枠で公平感を補強する。
