イベントID	step	区分	イベント名	強度_0to1	対象	主な影響方向	発生源	関連国	日本社会状態	若者への入力文
WE008	3	世界イベント	半導体・計算資源制約の悪化	0.21	全体	学習機会格差↑ 雇用不安↑	計算資源制約	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが71.0。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は43.8。	計算資源と半導体制約により、AI利用格差と進路不安が広がる。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
WE009	3	世界イベント	供給網不安拡大の悪化	0.36	全体	物価不安↑ 雇用安定↓	供給網不安	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが71.0。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は43.8。	供給網の不安定化により、物価と企業採用への不安が残る。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
WE010	3	世界イベント	地政学SNS不安拡散の悪化	0.23	全体	不安↑ 怒り↑ 逃避行動↑	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが71.0。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は43.8。	危機情報がSNSで増幅し、不安と怒りが日常会話に入り込む。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB003	4	社会反応	生活防衛シフト	0.38	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	公平感欠損54.2、政策疲労52.2、生活防衛25.3	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB003	4	社会反応	生活防衛シフト	0.38	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	公平感欠損54.2、政策疲労52.2、生活防衛25.3	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE004	4	組織判断	企業・組織の採用育成判断	0.52	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	未来通信システム株式会社: 新卒は厳選継続、中途は安保/BCP/省電力運用を増枠 / 北関東精密加工株式会社: 新卒は絞りつつ継続、保全/品質の中途を優先 / 首都圏業務支援株式会社: 新卒は少数維持、中途はAI運用・BCP経験者を優先採用	未来通信システム株式会社: 安保・運用系の入口が増え安心感、選別感も残る / 北関東精密加工株式会社: 不安下で地元志向増、技能+AI併用人材の評価が上がる / 首都圏業務支援株式会社: 安定志向が強まり採用競争は厳化、対人対応力が評価軸に残る 現役側には 未来通信システム株式会社: 再配置と安保対応で負荷増、汎用業務は縮小不安が増す / 北関東精密加工株式会社: 現場は省力化期待と抵抗が併存、再配置と負荷偏在が増える / 首都圏業務支援株式会社: 不安増で離職リスク、監督・危機対応スキルへ再訓練圧力が増す
PL003_02	4	政策探索	ワンストップ窓口のトリアージ＋予約・待ち時間可視化	0.50	対面・電話伴走が必要な層（デジタル弱者、独居、手続き不慣れ）と窓口混雑で諦める層	受給漏れ↓ 不公平感↓ 政策疲労↓ 自治体現場負荷の平準化↑	LLM政策探索/通常政策のみ	日本	手続き簡素化は進む一方、副作用圧と公平感欠損が高く、説明不足が政策疲労と対象外反発を増幅。	窓口に行っても長時間待つなら結局あきらめるし、助けが必要な人ほど後回しに見える。
PL004_01	4	政策探索	新規周知の一時停止＋情報導線の統合	0.45	注意層（非正規・単身・若年勤労）と中間層の制度迷子・情報過多層	情報過多↓ 政策疲労↓ 申請迷子↓ 制度信頼↑	LLM政策探索/通常政策のみ	日本	副作用圧が極端に高く、窓口強化が情報過多と対象外反発を招き政策疲労が固定化。	制度が増えすぎて自分が何を使えるか分からず、調べるだけで疲れて諦めた。
WE011	4	世界イベント	間接衝突拡大	0.72	全体	地政学リスク↑ SNS不安↑	国家LLMリスク段階	北朝鮮	ステップ4: 地政学リスクが73.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は41.0。	北朝鮮の間接衝突化により、SNS上の不安と将来予見性の低下が強まる。
WE012	4	世界イベント	エネルギー価格ショック	0.27	全体	生活コスト↑ 子ども意向↓	エネルギー価格圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ4: 地政学リスクが73.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は41.0。	エネルギー圧力が高く、家計と移動・電気代への不安が増える。
WE013	4	世界イベント	地政学SNS不安拡散の悪化	0.36	全体	不安↑ 怒り↑ 逃避行動↑	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ4: 地政学リスクが73.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は41.0。	危機情報がSNSで増幅し、不安と怒りが日常会話に入り込む。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB004	5	社会反応	情報過敏の拡大	0.31	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	政策疲労56.3、公平感欠損55.9、情報過敏28.1	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
FB004	5	社会反応	情報過敏の拡大	0.31	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	政策疲労56.3、公平感欠損55.9、情報過敏28.1	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
OE005	5	組織判断	企業・組織の採用育成判断	0.43	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒は厳選継続、中途は調達/省電力/安保を増枠 / 首都圏業務支援株式会社: 新卒は少数維持、中途はAI運用・BCP・調達/業務設計を優先 / 桐野市産業雇用課: 若者採用支援は維持、供給網・物流職種を優先	未来通信システム株式会社: 学習機会格差が拡大し、選別不安と職種偏りが強まる / 首都圏業務支援株式会社: 新卒枠は狭いが、型化研修で早期戦力化の機会は増える / 桐野市産業雇用課: 計算資源格差で進路不安増、地域研修で緩和を狙う 現役側には 未来通信システム株式会社: 省計算運用・安保対応へ再学習圧力、周辺職は不安増 / 首都圏業務支援株式会社: 現役は監督・品質・顧客不安対応へ再配置、再学習負担が増える / 桐野市産業雇用課: 再配置と兼業で負荷増、学び直し支援が前提化
PL004_02	5	政策探索	対象外反発を抑える財政不安ケア説明（支出上限・優先順の明示）	0.55	対象外反発層、勤労中間層、窓口待ちで不公平感が強まる層	公平感↑ 制度信頼↑ 財政不安↓ 政策疲労↓	LLM政策探索/通常政策のみ	日本	副作用圧が極端に高く、窓口強化が情報過多と対象外反発を招き政策疲労が固定化。	結局またバラマキで将来ツケになる気がして、制度の話自体を信じにくい。
WE014	5	世界イベント	半導体・計算資源制約の悪化	0.45	全体	学習機会格差↑ 雇用不安↑	計算資源制約	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ5: 供給網不安が77.3。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は38.0。	計算資源と半導体制約により、AI利用格差と進路不安が広がる。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
WE015	5	世界イベント	供給網不安拡大の悪化	0.61	全体	物価不安↑ 雇用安定↓	供給網不安	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ5: 供給網不安が77.3。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は38.0。	供給網の不安定化により、物価と企業採用への不安が残る。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB005	6	社会反応	情報過敏の拡大	0.25	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	政策疲労61.4、公平感欠損57.4、情報過敏25.0	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
FB005	6	社会反応	情報過敏の拡大	0.25	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	政策疲労61.4、公平感欠損57.4、情報過敏25.0	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
OE006	6	組織判断	企業・組織の採用育成判断	0.43	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒は省計算/安保適性で厳選、中途は増枠維持 / 北関東精密加工株式会社: 新卒は絞って継続、保全/品質/調達の中途を厚め / 首都圏業務支援株式会社: 新卒は少数維持、中途はAI運用・BCP・業務設計を優先	未来通信システム株式会社: 採用絞り込み不安↑、一方で基盤/安保育成は厚く / 北関東精密加工株式会社: 採用枠は狭いが、早期戦力化で成長実感は出やすい / 首都圏業務支援株式会社: 新卒枠は狭いがAI運用・監査系の学習動機は強まる 現役側には 未来通信システム株式会社: 省計算運用と安保の再学習圧↑、雇用は横滑り維持 / 北関東精密加工株式会社: 配置転換と多能工化で負荷増、技能が雇用の盾になる / 首都圏業務支援株式会社: コスト管理とBCP対応が負荷増、配置転換で不安は抑制
PL005_01	6	政策探索	ワンストップの優先トリアージ統一（生活費ショック即判定）	0.60	窓口・電話に来る生活費急変層（単身・非正規・独居高齢・子育て手前）	申請迷子↓ 受給漏れ↓ 政策疲労↓ 公平感↑ 自治体負荷の平準化↑	LLM政策探索/通常政策のみ	日本	施策は増えたが手続き・待ち・対象外感が残り、公平感欠損と政策疲労が固定化。	物価と雇用が不安なのに、どこに何を出せばいいか分からず疲れる。
WE016	6	世界イベント	供給網不安拡大の高止まり	0.59	全体	物価不安↑ 雇用安定↓ 慢性負荷↑	供給網不安	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ6: 供給網不安が76.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は34.4。	供給網の不安定化により、物価と企業採用への不安が残る。 新しい事件というより、高い不安が続いて疲労感を生む。
WE017	6	制度制約	財政制約による支援遅れの悪化	0.70	全体	制度信頼↓ 裏切られ感↑	日本社会状態	日本	ステップ6: 供給網不安が76.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は34.4。	財政圧力により若者支援や生活支援が遅れ、制度への失望が出やすい。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB006	7	社会反応	生活防衛シフト	0.76	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労67.5、公平感欠損61.0、生活防衛46.0	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB006	7	社会反応	生活防衛シフト	0.76	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労67.5、公平感欠損61.0、生活防衛46.0	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE007	7	組織判断	企業・組織の採用育成判断	0.44	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒は省計算/安保適性で絞り、中途は内製枠へ寄せる / 北関東精密加工株式会社: 新卒は絞り継続、保全/品質/調達の中途を優先 / 首都圏業務支援株式会社: 新卒は最少維持、中途はBCP・業務設計・AI監査を優先	未来通信システム株式会社: 計算資源枠が狭まり、選別不安と学習格差が拡大 / 北関東精密加工株式会社: 採用枠は狭いが技能可視化で成長筋は明確化 / 首都圏業務支援株式会社: 新卒枠が細く競争増、型化研修で早期戦力化は進む 現役側には 未来通信システム株式会社: 省電力運用と安保対応の再学習圧が上がり負荷増 / 北関東精密加工株式会社: 現場に省力化圧力、保全/改善職へ再配置が進む / 首都圏業務支援株式会社: 配置転換と監査業務増、再学習圧力と負荷が同時に上がる
PL005_02	7	政策探索	時限・上限付き光熱費の税控除（中間層も対象を明示）	0.50	給付対象外になりやすい勤労中間層（単身・共働き含む）	公平感↑ 制度信頼↑ 財政不安↓（上限明示） 政策疲労↓（対象外反発の沈静化）	LLM政策探索/通常政策のみ	日本	施策は増えたが手続き・待ち・対象外感が残り、公平感欠損と政策疲労が固定化。	頑張って働いても支援は自分に来ない感じが強く、制度への納得が崩れている。
PL006_01	7	政策探索	事前自己判定＋予約分散（3分診断）	0.58	窓口混雑で諦める層、単身・非正規・若年勤労、デジタル弱者は電話代替	申請迷子↓ 待ち時間↓ 受給漏れ↓ 政策疲労↓ 公平感↑ 自治体負荷平準化↑	LLM政策探索/通常政策のみ	日本	施策は積み上がったが副作用警戒100で、窓口負荷と対象外反発が政策疲労・公平感欠損を増幅。	支援はあるはずなのに、どれに当てはまるか分からず並ぶだけで消耗している。
PL006_02	7	政策探索	窓口ピーク時の処理応援枠（通常補助）	0.62	混雑自治体の窓口・コールセンター、待ちで離脱する生活費急変層	待ち時間↓ 受給漏れ↓ 不公平感↓ 政策疲労↓ 現場燃え尽き↓	LLM政策探索/通常政策のみ	日本	施策は積み上がったが副作用警戒100で、窓口負荷と対象外反発が政策疲労・公平感欠損を増幅。	助けを求めてもつながらない・待たされる体験が、制度への不信と諦めに変わっている。
WE018	7	世界イベント	エネルギー価格ショックの悪化	0.37	全体	生活コスト↑ 子ども意向↓	エネルギー価格圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ7: 供給網不安が78.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は32.1。	エネルギー圧力が高く、家計と移動・電気代への不安が増える。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
WE019	7	世界イベント	半導体・計算資源制約の悪化	0.58	全体	学習機会格差↑ 雇用不安↑	計算資源制約	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ7: 供給網不安が78.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は32.1。	計算資源と半導体制約により、AI利用格差と進路不安が広がる。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB007	8	社会反応	生活防衛シフト	0.39	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労70.0、公平感欠損60.2、情報過敏32.3	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB007	8	社会反応	生活防衛シフト	0.39	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労70.0、公平感欠損60.2、情報過敏32.3	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB008	8	社会反応	情報過敏の拡大	0.38	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	政策疲労70.0、公平感欠損60.2、情報過敏32.3	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
FB008	8	社会反応	情報過敏の拡大	0.38	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	政策疲労70.0、公平感欠損60.2、情報過敏32.3	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
OE008	8	組織判断	企業・組織の採用育成判断	0.50	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	首都圏業務支援株式会社: 新卒は絞りつつ最少維持。中途は業務設計・AI監査・BCPを厚め / 桐野市産業雇用課: 若者採用支援は維持、安心感重視で窓口強化 / 東京湾岸工科専門学校: 常勤は抑制、企業常駐講師と非常勤で需要追従	首都圏業務支援株式会社: 選別不安は増えるが、対話・監督スキルで成長経路が可視化されやすい / 桐野市産業雇用課: 雇用不安を抑えつつ学び直し動機を確保、安心感は増す / 東京湾岸工科専門学校: 不安下でも進路の見通しが増え、自己効力感が戻る 現役側には 首都圏業務支援株式会社: 業務置換不安が強まる一方、配置転換と監査役割で残存機会は確保される / 桐野市産業雇用課: 再配置と研修で負荷増、誤情報不安は窓口整備で低減 / 東京湾岸工科専門学校: 学び直し機会が増え、職務転換の心理負担が軽くなる
PL007_01	8	政策探索	光熱費税控除の自動適用・手続き最小化	0.62	勤労中間層（単身・共働き含む）＋申請疲れ層	手続き疲れ↓ 政策疲労↓ 公平感↑ 制度信頼↑ 対象外反発↓	LLM政策探索/通常政策のみ	日本	施策が積み上がり情報過多と手続き負担が限界。対象外反発と現場疲弊で二極化が進行。	支援はあるらしいが手続きが多すぎて、結局自分は置いていかれる気がする。
PL008_02	8	政策探索	対象外・上限・期限の共通説明テンプレ（1枚＋30秒版）	0.55	対象外反発層、勤労中間層、SNSで不安が増幅して制度不信に傾く層	公平感↑ 制度信頼↑ 財政不安↓ 政策疲労↓ 対象外反発↓	LLM政策探索/通常政策のみ	日本	施策追加で副作用が飽和。SNS不安下で対象外反発と手続き疲れが増幅し二極化が進行。	ルールが曖昧に見えて不公平だと感じ、怒りと不安だけが残る。
WE020	8	世界イベント	AI雇用不安増幅の悪化	0.62	全体	希望経路↓ 自己効力感↓	雇用不確実性	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ8: SNS不安増幅が80.8。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は30.7。	AIと景気の不確実性により、努力が報われる経路が見えにくくなる。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB009	9	社会反応	生活防衛シフト	0.62	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労68.2、公平感欠損56.8、生活防衛38.4	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB009	9	社会反応	生活防衛シフト	0.62	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労68.2、公平感欠損56.8、生活防衛38.4	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB010	9	社会反応	情報過敏の拡大	0.26	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	政策疲労68.2、公平感欠損56.8、生活防衛38.4	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
FB010	9	社会反応	情報過敏の拡大	0.26	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	政策疲労68.2、公平感欠損56.8、生活防衛38.4	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
