イベントID	step	区分	イベント名	強度_0to1	対象	主な影響方向	発生源	関連国	日本社会状態	若者への入力文	planner_action	delivery_channel	budget_cost_0to1	implementation_lag_steps	duration_steps	expected_effect	side_effect_watchpoints	adjustment_reason
PL012_02	13	政策探索	分散受付に“全国共通の応対・判定スクリプト”を同梱	0.55	自治体窓口・コールバック担当＋対応差で不公平感が強い住民	自治体間対応差↓ 公平感↑ 制度信頼↑ 政策疲労↓ 炎上誘発↓	LLM政策探索/通常政策のみ	日本	SNS不安増幅下で説明施策が増え、対象外反発と政策疲労が高止まり。導線の一本化と“例外時の逃げ道”明確化が不足。	住んでいる場所で対応が違うと感じると、最初から諦めたくなる。	amend	自治体	0.18	1	8	自治体間対応差↓ 公平感↑ 制度信頼↑ 政策疲労↓ 炎上誘発↓	現場の裁量不足による反発、画一化で拾えないケース増、品質監査が“監視”に見える	地域分散は待ち時間を下げる一方、品質ばらつきが公平感欠損を増幅するため、同時に“説明と判断”を標準化して副作用を抑える。
PL013_01	14	政策探索	共通スクリプトに例外拾いチェック同梱	0.62	自治体窓口・コールバック担当＋対応差で不公平感が強い住民	公平感↑ 制度信頼↑ 政策疲労↓ 炎上誘発↓ 受給漏れ↓	LLM政策探索/通常政策のみ	日本	SNS不安で誤解が増幅し、説明追加が逆に情報過多→政策疲労と不公平感を固定化。	何が正解か分からず、同じ相談でも地域で結果が変わる気がして怖い。	amend	自治体	0.12	1	10	公平感↑ 制度信頼↑ 政策疲労↓ 炎上誘発↓ 受給漏れ↓	画一化で拾えないケース増、現場反発（裁量不足）、監査が監視に見える	既存の全国共通スクリプトは公平感に効く一方、例外を拾えない不満がSNSで増幅しやすい。裁量の範囲と例外拾い基準を明文化して“対応差”を“正当な分岐”に変える。
PL013_02	13	政策探索	緊急時例外導線の2分岐30秒版（誤解即応）	0.58	生活費急変・離脱寸前層＋対象外反発層（注意層・勤労中間層含む）	情報過多↓ 政策疲労↓ 見捨てられ感↓ 制度信頼↑ 対象外反発↓	LLM政策探索/通常政策のみ	日本	SNS不安で誤解が増幅し、説明追加が逆に情報過多→政策疲労と不公平感を固定化。	結局どこに行けばいいのか一瞬で分かる形じゃないと、もう追えない。	explain	スマホ通知	0.07	0	6	情報過多↓ 政策疲労↓ 見捨てられ感↓ 制度信頼↑ 対象外反発↓	強制感、情報過多の再燃、例外窓口の混雑再燃	SNS不安が高い局面では“条件が長い説明”自体が不信の燃料になる。例外導線を『今すぐ』か『通常』の2分岐に圧縮し、誤解訂正を同時配信して炎上と離脱を止める。
PL014_01	15	政策探索	再提出ゼロ化（情報再利用＋ワンクリック更新）	0.70	注意層（単身・非正規・若年勤労・デジタル弱者）と窓口離脱層	政策疲労↓ 受給漏れ↓ 待ち時間↓ 公平感↑ 制度信頼↑	LLM政策探索/通常政策のみ	日本	SNS不安×手続き疲れで政策疲労が臨界、対象外反発と不公平感が固定化。	制度はあるのに申請が面倒で、助けが遠いと感じる。	simplify	自治体	0.28	1	8	政策疲労↓ 受給漏れ↓ 待ち時間↓ 公平感↑ 制度信頼↑	対象外感、情報過多（説明が増える）、自治体負荷集中、デジタル弱者の取り残し	副作用圧100・政策疲労80台では新メニュー追加が逆効果。既存導線の“再提出”を削り体感負担を先に下げる。
PL014_02	14	政策探索	30秒即応の“根拠付き”統一（上限・対象外理由の可視化）	0.60	対象外反発層・勤労中間層・SNS不安増幅層	制度信頼↑ 公平感↑ 財政不安↓ 対象外反発↓ 政策疲労↓	LLM政策探索/通常政策のみ	日本	SNS不安×手続き疲れで政策疲労が臨界、対象外反発と不公平感が固定化。	不安な情報が先に流れ、何を信じて動けばいいか分からない。	amend	スマホ通知	0.15	0	8	制度信頼↑ 公平感↑ 財政不安↓ 対象外反発↓ 政策疲労↓	炎上誘発（言い回し）、強制感、情報過多（通知疲れ）	SNS不安が80台で誤解が先行しやすい。既存の30秒即応を“結論→理由→次の一手”に統一し、対象外・上限の納得経路を短くする。
PL015_01	16	政策探索	同伴・代理の簡易化（デジタル弱者補完）	0.60	単身・非正規・独居高齢・若年勤労のデジタル弱者／窓口離脱層	受給漏れ↓ 待ち時間↓ 政策疲労↓ 公平感↑ 制度信頼↑	LLM政策探索/通常政策のみ	日本	手続き簡素化は進むが、情報過多と対象外反発が残り政策疲労が臨界。	スマホ前提の制度だと感じ、結局できる人だけ得をすると思う。	amend	自治体	0.18	1	8	受給漏れ↓ 待ち時間↓ 政策疲労↓ 公平感↑ 制度信頼↑	自治体負荷集中、不正懸念の炎上、対象外感、現場の裁量反発	再提出ゼロ化は効くが、取り残しが出ると不公平感と疲労が増幅するため今補完する。
PL015_02	16	政策探索	通知の週1要約＋緊急だけ即時（通知疲れ制御）	0.50	SNS不安増幅層・勤労中間層・申請疲れ層（注意層中心）	情報過多↓ 政策疲労↓ 誤解拡散↓ 制度信頼↑ 財政不安↓	LLM政策探索/通常政策のみ	日本	手続き簡素化は進むが、情報過多と対象外反発が残り政策疲労が臨界。	政策の告知が多すぎて追えず、どれが自分に関係あるか分からない。	sequence	スマホ通知	0.09	1	8	情報過多↓ 政策疲労↓ 誤解拡散↓ 制度信頼↑ 財政不安↓	緊急情報の見落とし、強制感（通知設定）、対象外感（要約の切り捨て）	30秒即応の拡充は有効だが量が増えると逆効果なので、順序を変えて“静かな運用”に寄せる。
PL016_01	17	政策探索	統合ロードマップに「減らす数・期限・例外入口」明記	0.60	注意層全体＋対象外反発層＋勤労中間層	政策疲労↓ 情報過多↓ 制度信頼↑ 公平感↑ 財政不安↓	LLM政策探索/通常政策のみ	日本	副作用圧100と政策疲労76.8が限界域。追加より統合・減算と対象外説明不足が主因。	また制度が増えるだけで、結局自分は対象外だと感じて諦めが強まっている。	amend	自治体	0.08	1	8	政策疲労↓ 情報過多↓ 制度信頼↑ 公平感↑ 財政不安↓	見捨てられ感、炎上誘発（言い回し）、例外窓口の混雑再燃	新規追加が疲労を増幅しているため、施策を減らす前提と例外導線を同時に可視化して離脱と反発を止める。
PL016_02	17	政策探索	勤労中間・対象外向け「既存税控除/給付の一括判定＋自動誘導」	0.55	勤労中間層＋対象外反発層（子育て前の若年勤労含む）	対象外反発↓ 公平感↑ 政策疲労↓ 受給漏れ↓ 財政不安↓	LLM政策探索/通常政策のみ	日本	副作用圧100と政策疲労76.8が限界域。追加より統合・減算と対象外説明不足が主因。	働いても損だと感じるので、何が使えるのか一回で分かり、納得できる理由が欲しい。	simplify	スマホ通知	0.27	1	8	対象外反発↓ 公平感↑ 政策疲労↓ 受給漏れ↓ 財政不安↓	対象外感（表示結果の不満）、誤判定への不信、情報過多（説明が長い）	公平感欠損59.8を放置すると疲労が反発に転化するため、既存制度の範囲で“該当/非該当の理由”まで含めて手続きと感情コストを下げる。
PL017_01	18	政策探索	一括判定の不確実性表示＋即再判定＋人につなぐ導線	0.60	勤労中間層・対象外反発層（誤判定で不信が増える層）	制度信頼↑ 公平感↑ 対象外反発↓ 政策疲労↓ 受給漏れ↓	LLM政策探索/通常政策のみ	日本	財政圧力下で手続き・説明の積み増しが限界化し、対象外反発と疲労が固定化。	申請しても“対象外”の理由が分からず、国に切り捨てられた気がする。	amend	スマホ通知	0.12	1	8	制度信頼↑ 公平感↑ 対象外反発↓ 政策疲労↓ 受給漏れ↓	問い合わせ急増による窓口再混雑、不確実性表示が不安を増幅、対象外感（理由が刺さる言い回し）	PL016_02は誤判定・説明過多が炎上点になりやすく、信頼毀損を先に潰す必要があるため。
PL017_02	19	政策探索	企業経由の週1要約（給与・源泉に連動した最短ナビ）	0.50	忙しい勤労中間層・若年勤労（通知疲れ＋対象外反発予備軍）	情報過多↓ 政策疲労↓ 受給漏れ↓ 公平感↑ 制度信頼↑	LLM政策探索/通常政策のみ	日本	財政圧力下で手続き・説明の積み増しが限界化し、対象外反発と疲労が固定化。	役所に行く時間も気力もなく、会社で分かるなら助かるが監視はされたくない。	sequence	企業	0.18	2	8	情報過多↓ 政策疲労↓ 受給漏れ↓ 公平感↑ 制度信頼↑	会社経由への強制感、個人情報懸念（誤解）、非正規・無業の対象外感	生活防衛が低い一方で政策疲労が極大のため、自治体窓口に寄せず“普段の接点”へ順序転換して摩擦を下げる。
PL018_01	19	政策探索	人につなぐ導線の予約・折返し標準化	0.60	誤判定不信・対象外反発で問い合わせ急増しやすい勤労中間層＋窓口離脱寸前層	政策疲労↓ 窓口再混雑↓ 受給漏れ↓ 制度信頼↑ 公平感↑	LLM政策探索/通常政策のみ	日本	財政圧力下で施策増殖が逆効果化し、注意層の政策疲労と対象外反発が固定化している	聞きたいのに繋がらず、制度は結局一部の人だけのものだと感じる	sequence	自治体	0.18	1	8	政策疲労↓ 窓口再混雑↓ 受給漏れ↓ 制度信頼↑ 公平感↑	予約が取れない不満、弱者の取り残し、自治体間の運用差	直近の不確実性表示は問い合わせ増を誘発しやすいので、先に受け皿の混雑制御を入れて副作用を抑える
PL018_02	19	政策探索	対象外理由の短文化＋言い換えテンプレ統一	0.45	対象外反発層・SNS不安増幅層（勤労中間層中心）	対象外反発↓ 情報過多↓ 政策疲労↓ 制度信頼↑ 財政不安↓	LLM政策探索/通常政策のみ	日本	財政圧力下で施策増殖が逆効果化し、注意層の政策疲労と対象外反発が固定化している	『対象外』の一言が刺さって、社会から不要だと言われた気がする	amend	スマホ通知	0.06	1	8	対象外反発↓ 情報過多↓ 政策疲労↓ 制度信頼↑ 財政不安↓	説明不足による不信、言い回し炎上、要約で漏れる例外	副作用圧が最大で、説明の総量が増えるほど疲労が増幅するため、理由提示を短く・刺さらない形に標準化して誤解の再生産を止める
PL019_01	19	政策探索	企業経由ナビの任意化＋一時停止（同意型へ切替準備）	0.60	忙しい勤労中間層・若年勤労／会社経由に強制感を持つ層	強制感↓ 政策疲労↓ SNS不安増幅↓ 制度信頼↑	LLM政策探索/通常政策のみ	日本	施策が積み上がり通知・判定・窓口が再混雑し、対象外反発と政策疲労が増幅。	制度の連絡が多すぎて、会社まで絡むと逃げ場がないと感じる。	pause	企業	0.04	0	4	強制感↓ 政策疲労↓ SNS不安増幅↓ 制度信頼↑	受給漏れの一時増、非正規・無業の対象外感、企業側の反発	政策疲労80.3の局面で「会社経由」の強制感・個人情報誤解が炎上源になりやすく、まず摩擦源を減らす必要があるため。
PL019_02	20	政策探索	対象外理由テンプレに「次の一手」統一（例外入口・再判定・人につなぐ）	0.58	対象外反発層・勤労中間層・SNS不安増幅層（理由で刺さりやすい層）	対象外反発↓ 公平感↑ 政策疲労↓ 制度信頼↑ 受給漏れ↓	LLM政策探索/通常政策のみ	日本	施策が積み上がり通知・判定・窓口が再混雑し、対象外反発と政策疲労が増幅。	対象外と言われた瞬間に終わった気がして、何をすればいいか分からない。	amend	自治体	0.14	1	10	対象外反発↓ 公平感↑ 政策疲労↓ 制度信頼↑ 受給漏れ↓	説明不足による不信、例外窓口の再混雑、言い回し炎上	公平感欠損63.6と副作用圧100.0が示す通り、「対象外」通知が分断の起点。短文化だけでなく“次の一手”を必ず添えて離脱を止める必要があるため。
