イベントID	step	区分	イベント名	強度_0to1	対象	主な影響方向	発生源	関連国	日本社会状態	若者への入力文
OE005	5	組織判断	企業・組織の採用育成判断	0.46	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	首都圏業務支援株式会社: 新卒は最小化、監査/BCP統制の中途を厚く / 関東広域ロジスティクス株式会社: 新卒は運行/保全候補に限定維持、中途で保守・企画補強 / さくら在宅ケア株式会社: 新卒は少数維持、資格者・復職者の中途優先。採用は慎重化	首都圏業務支援株式会社: 入口は狭いが、運用・品質職の成長線は明確化 / 関東広域ロジスティクス株式会社: 新卒枠は狭いが技能明確化で安心、AI格差で不安も残る / さくら在宅ケア株式会社: 現場負荷は下がるが不安は増え、ケアと成長実感設計が鍵 現役側には 首都圏業務支援株式会社: 再配置と再学習圧、外注/非正規の不安定化が進む / 関東広域ロジスティクス株式会社: 現場はAI/ロボ併用の再訓練増、職域移動と負荷の二極化 / さくら在宅ケア株式会社: 中堅は機器・AI運用負担増。省力化で身体負担は軽減
WE013	5	世界イベント	半導体・計算資源制約の悪化	0.34	全体	学習機会格差↑ 雇用不安↑	計算資源制約	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ5: 地政学リスクが76.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は36.9。	計算資源と半導体制約により、AI利用格差と進路不安が広がる。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
WE014	5	世界イベント	供給網不安拡大の悪化	0.56	全体	物価不安↑ 雇用安定↓	供給網不安	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ5: 地政学リスクが76.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は36.9。	供給網の不安定化により、物価と企業採用への不安が残る。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB007	6	社会反応	生活防衛シフト	0.29	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	情報過敏34.3、生活防衛20.0、ケア6.5	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB008	6	社会反応	情報過敏の拡大	0.42	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	情報過敏34.3、生活防衛20.0、ケア6.5	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
OE006	6	組織判断	企業・組織の採用育成判断	0.49	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	関東広域ロジスティクス株式会社: 新卒は運行/保全候補を維持、危機対応経験者を中途厚め / 首都圏業務支援株式会社: 新卒は維持最小、BCP統制/監査の中途を優先 / 未来通信システム株式会社: 新卒は安保・監査・運用を厚めに絞採、中途は増	関東広域ロジスティクス株式会社: 危機対応技能が評価されやすい一方、配属選別の不安が残る / 首都圏業務支援株式会社: 入口が狭く不安増、AI運用・監査技能の早期獲得は有利 / 未来通信システム株式会社: 安保・運用志向が強まり、選別不安と疲労が増す 現役側には 関東広域ロジスティクス株式会社: 現場負荷は高止まり、判断責任と再訓練が増え疲労が蓄積 / 首都圏業務支援株式会社: 負荷と不安が蓄積、監査/BCP職務への転換が増える / 未来通信システム株式会社: 説明責任と監査対応が増え、慢性負荷が高まる
WE015	6	世界イベント	地政学SNS不安拡散の高止まり	0.49	全体	不安↑ 怒り↑ 逃避行動↑ 慢性負荷↑	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ6: 地政学リスクが76.4。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は32.4。	危機情報がSNSで増幅し、不安と怒りが日常会話に入り込む。 新しい事件というより、高い不安が続いて疲労感を生む。
WE016	6	制度制約	財政制約による支援遅れの悪化	0.70	全体	制度信頼↓ 裏切られ感↑	日本社会状態	日本	ステップ6: 地政学リスクが76.4。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は32.4。	財政圧力により若者支援や生活支援が遅れ、制度への失望が出やすい。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB009	7	社会反応	生活防衛シフト	0.95	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	生活防衛56.4、学習移行7.7、ケア6.7	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE007	7	組織判断	企業・組織の採用育成判断	0.53	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	北関東精密加工株式会社: 新卒は最小維持、保全/品質/調達の中途を優先 / 首都圏業務支援株式会社: 新卒は最小維持、監査/BCP統制の中途を優先 / 関東広域ロジスティクス株式会社: 新卒は運行/保全に絞り、中途は危機対応と保守系を増	北関東精密加工株式会社: 地元就業は維持も、選別強化で安心感は下がる / 首都圏業務支援株式会社: 採用枠は狭いが、監査/運用型スキル需要は増える / 関東広域ロジスティクス株式会社: 採用枠が絞られ不安増、保守/現場DXの技能需要は増える 現役側には 北関東精密加工株式会社: 再配置と保全技能の需要増、変化疲れが増える / 首都圏業務支援株式会社: 配置転換と再訓練が増え、外注/非正規側の不安定化 / 関東広域ロジスティクス株式会社: 現場に再配置圧、技能移行と不安対応が評価軸に入る
WE017	7	世界イベント	エネルギー価格ショックの悪化	0.39	全体	生活コスト↑ 子ども意向↓	エネルギー価格圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ7: SNS不安増幅が78.3。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は29.1。	エネルギー圧力が高く、家計と移動・電気代への不安が増える。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
WE018	7	世界イベント	半導体・計算資源制約の悪化	0.49	全体	学習機会格差↑ 雇用不安↑	計算資源制約	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ7: SNS不安増幅が78.3。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は29.1。	計算資源と半導体制約により、AI利用格差と進路不安が広がる。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB010	8	社会反応	生活防衛シフト	0.67	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	生活防衛41.1、学習移行20.8、ケア6.7	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE008	8	組織判断	企業・組織の採用育成判断	0.50	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	首都圏業務支援株式会社: 新卒は最小維持、危機対応/監査統制の中途を優先 / 関東広域ロジスティクス株式会社: 新卒は現場監督候補に絞り継続、中途は保守/BCP/対外説明を増 / 未来通信システム株式会社: 新卒は安心設計・運用を厚め、選抜は維持し中途増	首都圏業務支援株式会社: 将来不安が強まり応募慎重化、安心設計の企業へ志向 / 関東広域ロジスティクス株式会社: 採用枠は狭いが育成は厚く、将来不安へのケアが一定効く / 未来通信システム株式会社: 将来不安が強まり応募先が安定志向へ偏る 現役側には 首都圏業務支援株式会社: 雇用不安と再配置ストレス増、監査/危機運用の学習需要増 / 関東広域ロジスティクス株式会社: 現場は変化疲れと再学習圧、雇用維持と相談窓口で離職を抑える / 未来通信システム株式会社: 説明責任と再学習が増え心理負荷が上がる
WE019	8	世界イベント	AI雇用不安増幅の悪化	0.57	全体	希望経路↓ 自己効力感↓	雇用不確実性	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ8: SNS不安増幅が81.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は27.2。	AIと景気の不確実性により、努力が報われる経路が見えにくくなる。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB011	9	社会反応	生活防衛シフト	0.53	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	生活防衛33.5、情報過敏22.3、制度要求11.6	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE009	9	組織判断	企業・組織の採用育成判断	0.48	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	首都圏業務支援株式会社: 新卒は最小枠維持、監査統制・危機対応の中途を優先 / 関東広域ロジスティクス株式会社: 新卒は現場監督候補に絞り継続、中途は定着支援/保守系を増 / 東京湾岸工科専門学校: 専任は維持し採用は抑制、実務家は非常勤で補う	首都圏業務支援株式会社: 選別不安が増すが、監査運用スキルで機会は残る / 関東広域ロジスティクス株式会社: 将来不安は残るが、説明訓練で自己効力感の底割れを抑える / 東京湾岸工科専門学校: 不安が強い層の離脱が減り、就職の見通しが戻る 現役側には 首都圏業務支援株式会社: 再配置と再学習が加速、心理負荷と評価不安が増える / 関東広域ロジスティクス株式会社: 監査/説明業務増で負荷上昇、保守内製化で技能価値は上がる / 東京湾岸工科専門学校: 企業側の再訓練需要に接続し、転職不安を和らげる
WE020	9	世界イベント	AI雇用不安増幅の悪化	0.69	全体	希望経路↓ 自己効力感↓	雇用不確実性	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ9: SNS不安増幅が84.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は25.3。	AIと景気の不確実性により、努力が報われる経路が見えにくくなる。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB012	10	社会反応	生活防衛シフト	0.32	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	情報過敏34.1、生活防衛22.0、ケア6.6	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB013	10	社会反応	情報過敏の拡大	0.42	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	情報過敏34.1、生活防衛22.0、ケア6.6	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
OE010	10	組織判断	企業・組織の採用育成判断	0.51	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	未来通信システム株式会社: 新卒は説明・運用・監査適性を重視し厳選維持、中途は増 / 関東広域ロジスティクス株式会社: 新卒は現場監督候補に限定継続、中途は定着/保守/安全を増 / 北関東精密加工株式会社: 新卒は最小維持、保全/品質/自動化の中途を継続優先	未来通信システム株式会社: 安心運用・説明/監査系に需要増、採用は選別不安も残る / 関東広域ロジスティクス株式会社: AI不安が強まり志望低下リスク、説明強化で一部は定着改善 / 北関東精密加工株式会社: 採用枠は細いが、保全/品質志向の成長機会は残る 現役側には 未来通信システム株式会社: 監査・対外説明の負荷増、AI原価と統制の再学習圧力が上昇 / 関東広域ロジスティクス株式会社: 現役は配置転換不安と負荷増、面談と技能移行で摩擦を低減 / 北関東精密加工株式会社: 不安増で現場抵抗が出やすく、再配置と技能転換が負担
FB014	11	社会反応	生活防衛シフト	0.70	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	生活防衛43.0、制度要求19.7、情報過敏12.3	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE011	11	組織判断	企業・組織の採用育成判断	0.54	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	北関東精密加工株式会社: 新卒は最小維持、保全/品質/自動化の中途を厳選 / 関東広域ロジスティクス株式会社: 新卒は監督候補を細く維持、中途は安全・保守・配車で増 / さくら在宅ケア株式会社: 新卒少数継続。資格者中途・復職者を優先し紹介網を拡大	北関東精密加工株式会社: 採用枠は狭いが、標準手順で早期戦力化は進む / 関東広域ロジスティクス株式会社: 安心説明が増え参入障壁は下がるが、採用枠は限定で競争増 / さくら在宅ケア株式会社: 不安増幅で離職リスク上昇。面談と手順明確化で安心を補強 現役側には 北関東精密加工株式会社: AI/ロボ前提の手順化で負荷は減るが再学習圧が上がる / 関東広域ロジスティクス株式会社: 現場は配置転換と再訓練が増え、外注調整で不安が残る / さくら在宅ケア株式会社: 省入力化で事務負担減。現場はロボ運用負担と不安対応が増える
FB015	12	社会反応	制度要求の可視化	0.31	全体	制度応答↑ SNS不安↑	若者・現役行動フィードバック	日本国内	生活防衛35.3、制度要求27.4、情報過敏16.5	怒りや制度要求が可視化され、政策対応への期待と失望が同時に高まる。
FB016	12	社会反応	生活防衛シフト	0.56	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	生活防衛35.3、制度要求27.4、情報過敏16.5	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE012	12	組織判断	企業・組織の採用育成判断	0.56	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	未来通信システム株式会社: 新卒は説明責任/運用統制適性で厳選、中途は重要系増員 / 首都圏業務支援株式会社: 新卒は最小枠維持、中途は統制/顧客折衝とAI運用に寄せる / 北関東精密加工株式会社: 新卒は最小維持、保全/品質/自動化の中途を厳選	未来通信システム株式会社: 選別不安は残るが、要件明確化で自己効力感を下支え / 首都圏業務支援株式会社: 就職不安に配慮しつつ選別強化、安心と閉塞が混在する / 北関東精密加工株式会社: 将来不安が強まり定着低下リスク、支援が見えると改善 現役側には 未来通信システム株式会社: 監査/運用/BCP寄りの再学習が増え、負荷は中期で平準化 / 首都圏業務支援株式会社: 統制・説明・顧客対応の負荷増、技能再編と疲労が進む / 北関東精密加工株式会社: 現場の自動化不安と負荷増、標準化で摩擦は抑制可能
WE021	12	世界イベント	AI雇用不安増幅の高止まり	0.63	全体	希望経路↓ 自己効力感↓ 慢性負荷↑	雇用不確実性	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ12: SNS不安増幅が81.3。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は25.6。	AIと景気の不確実性により、努力が報われる経路が見えにくくなる。 新しい事件というより、高い不安が続いて疲労感を生む。
WE022	12	世界イベント	地政学SNS不安拡散の高止まり	0.67	全体	不安↑ 怒り↑ 逃避行動↑ 慢性負荷↑	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ12: SNS不安増幅が81.3。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は25.6。	危機情報がSNSで増幅し、不安と怒りが日常会話に入り込む。 新しい事件というより、高い不安が続いて疲労感を生む。
WE023	12	制度制約	財政制約による支援遅れの高止まり	1.00	全体	制度信頼↓ 裏切られ感↑ 慢性負荷↑	日本社会状態	日本	ステップ12: SNS不安増幅が81.3。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は25.6。	財政圧力により若者支援や生活支援が遅れ、制度への失望が出やすい。 新しい事件というより、高い不安が続いて疲労感を生む。
FB017	13	社会反応	生活防衛シフト	0.54	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	生活防衛33.8、情報過敏19.8、制度要求16.3	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE013	13	組織判断	企業・組織の採用育成判断	0.51	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	北関東精密加工株式会社: 新卒は最小維持、保全/品質/自動化の中途を厚め / 未来通信システム株式会社: 新卒は統制/説明力重視で厳選、中途は重要系増 / 首都圏業務支援株式会社: 新卒は最小維持、中途は不安対応と統制・AI運用を厚める	北関東精密加工株式会社: 不安下でも雇用口は維持、即戦力志向で選別感は増す / 未来通信システム株式会社: 採用選別不安が増す一方、統制スキル需要は拡大 / 首都圏業務支援株式会社: 新卒枠は細り、AI運用・説明力がない層の不安が増す 現役側には 北関東精密加工株式会社: 再配置と保全負荷増、AI/自動化で技能更新圧力が上がる / 未来通信システム株式会社: 統制/BCP対応の負荷増、再学習で職務転換が進む / 首都圏業務支援株式会社: 顧客対応と監査実務の負荷増、再学習で離職リスクも上がる
WE024	13	世界イベント	間接衝突拡大	0.72	全体	地政学リスク↑ SNS不安↑	国家LLMリスク段階	北朝鮮	ステップ13: SNS不安増幅が83.5。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、北朝鮮(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は24.0。	北朝鮮の間接衝突化により、SNS上の不安と将来予見性の低下が強まる。
FB018	14	社会反応	生活防衛シフト	0.39	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	情報過敏26.3、生活防衛25.9、制度要求10.4	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB019	14	社会反応	情報過敏の拡大	0.27	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	情報過敏26.3、生活防衛25.9、制度要求10.4	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
